element;layer;level;color;siteid;alias
RTED-SP06-01;EDGE;5;;SPGUARULHOS0ED001;
RTED-SP06-02;EDGE;5;;SPSAOPAULO0ED003;
RTED-SP07-01;EDGE;5;;SPCAMPINAS0ED005;
RTED-SP07-02;EDGE;5;;SPCAMPINAS0ED006;
RTED-ES08-01;EDGE;5;;ESVITORIA0ED002;
RTED-ES08-02;EDGE;5;;ESVITORIA0ED003;
RTED-SC01-01;EDGE;5;;SCFLORIANOPO0ED001;
RTED-SC01-02;EDGE;5;;SCFLORIANOPO0ED002;
RTED-RS02-01;EDGE;5;;RSPORTOALEGR0ED001;
RTED-RS02-02;EDGE;5;;RSPORTOALEGR0ED002;
SWAC-AM01-01;METRO;8;;AMMANAUS0AC001;
SWAC-PA02-01;METRO;8;;PABELEM0AC001;
SWAC-TO03-01;METRO;8;;TOGURUPI0AC001;
SWAC-TO04-01;METRO;8;;TOPALMAS0AC001;
SWAC-AP05-01;METRO;8;;APLARANJALDO0AC001;
SWAC-RR06-01;METRO;8;;RRCARACARAI0AC001;
SWAC-AC07-01;METRO;8;;ACSENAMADURE0AC001;
SWAC-PA08-01;METRO;8;;PABELEM0AC002;
SWAC-AM09-01;METRO;8;;AMITACOATIAR0AC001;
SWAC-PA10-01;METRO;8;;PABELEM0AC003;
SWAC-AM11-01;METRO;8;;AMPARINTINS0AC001;
SWAC-TO12-01;METRO;8;;TOGURUPI0AC002;
SWAC-AC13-01;METRO;8;;ACRIOBRANCO0AC001;
SWAC-AM14-01;METRO;8;;AMITACOATIAR0AC002;
SWAC-AM15-01;METRO;8;;AMMANAUS0AC002;
SWAC-RR16-01;METRO;8;;RRBOAVISTA0AC001;
SWAC-RO17-01;METRO;8;;ROARIQUEMES0AC001;
SWAC-AM18-01;METRO;8;;AMMANAUS0AC003;
SWAC-TO19-01;METRO;8;;TOGURUPI0AC003;
SWAC-CE01-01;METRO;8;;CECAUCAIA0AC001;
SWAC-MA02-01;METRO;8;;MAIMPERATRIZ0AC001;
SWAC-PE03-01;METRO;8;;PERECIFE0AC001;
SWAC-CE04-01;METRO;8;;CEJUAZEIRODO0AC001;
SWAC-PE05-01;METRO;8;;PERECIFE0AC002;
SWAC-RN06-01;METRO;8;;RNPARNAMIRIM0AC001;
SWAC-CE07-01;METRO;8;;CEJUAZEIRODO0AC002;
SWAC-CE08-01;METRO;8;;CECAUCAIA0AC002;
SWAC-PB09-01;METRO;8;;PBSANTARITA0AC001;
SWAC-PE10-01;METRO;8;;PERECIFE0AC003;
SWAC-BA11-01;METRO;8;;BASALVADOR0AC001;
SWAC-BA12-01;METRO;8;;BAVITORIADAC0AC001;
SWAC-CE13-01;METRO;8;;CEFORTALEZA0AC001;
SWAC-MA14-01;METRO;8;;MAIMPERATRIZ0AC002;
SWAC-PB15-01;METRO;8;;PBSANTARITA0AC002;
SWAC-BA16-01;METRO;8;;BAVITORIADAC0AC002;
SWAC-MA17-01;METRO;8;;MASAOLUIS0AC001;
SWAC-RN18-01;METRO;8;;RNNATAL0AC001;
SWAC-MA19-01;METRO;8;;MAIMPERATRIZ0AC003;
SWAC-CE20-01;METRO;8;;CEFORTALEZA0AC002;
SWAC-CE21-01;METRO;8;;CEJUAZEIRODO0AC003;
SWAC-CE22-01;METRO;8;;CEFORTALEZA0AC003;
SWAC-PI23-01;METRO;8;;PITERESINA0AC001;
SWAC-AL24-01;METRO;8;;ALRIOLARGO0AC001;
SWAC-PB25-01;METRO;8;;PBJOAOPESSOA0AC001;
SWAC-PE26-01;METRO;8;;PEJABOATAODO0AC001;
SWAC-PB27-01;METRO;8;;PBSANTARITA0AC003;
SWAC-CE28-01;METRO;8;;CEJUAZEIRODO0AC004;
SWAC-PB29-01;METRO;8;;PBSANTARITA0AC004;
SWAC-SE30-01;METRO;8;;SENOSSASENHO0AC001;
SWAC-PI31-01;METRO;8;;PITERESINA0AC002;
SWAC-CE32-01;METRO;8;;CEFORTALEZA0AC004;
SWAC-PB33-01;METRO;8;;PBSANTARITA0AC005;
SWAC-MA34-01;METRO;8;;MASAOLUIS0AC002;
SWAC-BA35-01;METRO;8;;BAFEIRADESAN0AC001;
SWAC-BA36-01;METRO;8;;BAVITORIADAC0AC003;
SWAC-PE37-01;METRO;8;;PERECIFE0AC004;
SWAC-PE38-01;METRO;8;;PEOLINDA0AC001;
SWAC-AL39-01;METRO;8;;ALARAPIRACA0AC001;
SWAC-CE40-01;METRO;8;;CEJUAZEIRODO0AC005;
SWAC-MA41-01;METRO;8;;MAIMPERATRIZ0AC004;
SWAC-AL42-01;METRO;8;;ALMACEIO0AC001;
SWAC-CE43-01;METRO;8;;CEFORTALEZA0AC005;
SWAC-PI44-01;METRO;8;;PIPARNAIBA0AC001;
SWAC-BA45-01;METRO;8;;BAFEIRADESAN0AC002;
SWAC-RN46-01;METRO;8;;RNNATAL0AC002;
SWAC-RN47-01;METRO;8;;RNNATAL0AC003;
SWAC-PB48-01;METRO;8;;PBSANTARITA0AC006;
SWAC-PB49-01;METRO;8;;PBJOAOPESSOA0AC002;
SWAC-SE50-01;METRO;8;;SENOSSASENHO0AC002;
SWAC-CE51-01;METRO;8;;CEJUAZEIRODO0AC006;
SWAC-PB52-01;METRO;8;;PBSANTARITA0AC007;
SWAC-MA53-01;METRO;8;;MASAOLUIS0AC003;
SWAC-PI54-01;METRO;8;;PITERESINA0AC003;
SWAC-RN55-01;METRO;8;;RNPARNAMIRIM0AC002;
SWAC-PE56-01;METRO;8;;PERECIFE0AC005;
SWAC-CE57-01;METRO;8;;CEFORTALEZA0AC006;
SWAC-SE58-01;METRO;8;;SELAGARTO0AC001;
SWAC-RN59-01;METRO;8;;RNNATAL0AC004;
SWAC-CE60-01;METRO;8;;CECAUCAIA0AC003;
SWAC-AL61-01;METRO;8;;ALRIOLARGO0AC002;
SWAC-SE62-01;METRO;8;;SEARACAJU0AC001;
SWAC-PB63-01;METRO;8;;PBCAMPINAGRA0AC001;
SWAC-PB64-01;METRO;8;;PBSANTARITA0AC008;
SWAC-PI65-01;METRO;8;;PITERESINA0AC004;
SWAC-PE66-01;METRO;8;;PERECIFE0AC006;
SWAC-PB67-01;METRO;8;;PBSANTARITA0AC009;
SWAC-DF01-01;METRO;8;;DFBRASILIA0AC001;
SWAC-MS02-01;METRO;8;;MSDOURADOS0AC001;
SWAC-GO03-01;METRO;8;;GOANAPOLIS0AC001;
SWAC-DF04-01;METRO;8;;DFBRASILIA0AC002;
SWAC-DF05-01;METRO;8;;DFBRASILIA0AC003;
SWAC-DF06-01;METRO;8;;DFBRASILIA0AC004;
SWAC-MS07-01;METRO;8;;MSTRESLAGOAS0AC001;
SWAC-MS08-01;METRO;8;;MSDOURADOS0AC002;
SWAC-MS09-01;METRO;8;;MSDOURADOS0AC003;
SWAC-MT10-01;METRO;8;;MTCUIABA0AC001;
SWAC-MS11-01;METRO;8;;MSCAMPOGRAND0AC001;
SWAC-GO12-01;METRO;8;;GOAPARECIDAD0AC001;
SWAC-GO13-01;METRO;8;;GOAPARECIDAD0AC002;
SWAC-GO14-01;METRO;8;;GOAPARECIDAD0AC003;
SWAC-MT15-01;METRO;8;;MTCUIABA0AC002;
SWAC-GO16-01;METRO;8;;GOAPARECIDAD0AC004;
SWAC-MT17-01;METRO;8;;MTVARZEAGRAN0AC001;
SWAC-MT18-01;METRO;8;;MTCUIABA0AC003;
SWAC-ES01-01;METRO;8;;ESCARIACICA0AC001;
SWAC-ES02-01;METRO;8;;ESVITORIA0AC001;
SWAC-SP03-01;METRO;8;;SPGUARULHOS0AC001;
SWAC-SP04-01;METRO;8;;SPSAOPAULO0AC001;
SWAC-SP05-01;METRO;8;;SPGUARULHOS0AC002;
SWAC-RJ06-01;METRO;8;;RJDUQUEDECAX0AC001;
SWAC-MG07-01;METRO;8;;MGUBERLANDIA0AC001;
SWAC-ES08-01;METRO;8;;ESVILAVELHA0AC001;
SWAC-MG09-01;METRO;8;;MGBELOHORIZO0AC001;
SWAC-ES10-01;METRO;8;;ESVITORIA0AC002;
SWAC-MG11-01;METRO;8;;MGBELOHORIZO0AC002;
SWAC-MG12-01;METRO;8;;MGBELOHORIZO0AC003;
SWAC-SP13-01;METRO;8;;SPCAMPINAS0AC001;
SWAC-SP14-01;METRO;8;;SPCAMPINAS0AC002;
SWAC-MG15-01;METRO;8;;MGUBERLANDIA0AC002;
SWAC-SP16-01;METRO;8;;SPSAOPAULO0AC002;
SWAC-SP17-01;METRO;8;;SPCAMPINAS0AC003;
SWAC-RJ18-01;METRO;8;;RJDUQUEDECAX0AC002;
SWAC-SP19-01;METRO;8;;SPCAMPINAS0AC004;
SWAC-RJ20-01;METRO;8;;RJSAOGONCALO0AC001;
SWAC-SP21-01;METRO;8;;SPSAOPAULO0AC003;
SWAC-SP22-01;METRO;8;;SPGUARULHOS0AC003;
SWAC-SP23-01;METRO;8;;SPSAOPAULO0AC004;
SWAC-ES24-01;METRO;8;;ESCARIACICA0AC002;
SWAC-ES25-01;METRO;8;;ESVITORIA0AC003;
SWAC-ES26-01;METRO;8;;ESCARIACICA0AC003;
SWAC-RJ27-01;METRO;8;;RJRIODEJANEI0AC001;
SWAC-MG28-01;METRO;8;;MGBELOHORIZO0AC004;
SWAC-MG29-01;METRO;8;;MGBELOHORIZO0AC005;
SWAC-SP30-01;METRO;8;;SPGUARULHOS0AC004;
SWAC-RJ31-01;METRO;8;;RJRIODEJANEI0AC002;
SWAC-MG32-01;METRO;8;;MGUBERLANDIA0AC003;
SWAC-SP33-01;METRO;8;;SPGUARULHOS0AC005;
SWAC-ES34-01;METRO;8;;ESVITORIA0AC004;
SWAC-RJ35-01;METRO;8;;RJRIODEJANEI0AC003;
SWAC-MG36-01;METRO;8;;MGUBERLANDIA0AC004;
SWAC-SP37-01;METRO;8;;SPSAOPAULO0AC005;
SWAC-SP38-01;METRO;8;;SPGUARULHOS0AC006;
SWAC-ES39-01;METRO;8;;ESVITORIA0AC005;
SWAC-SP40-01;METRO;8;;SPSAOPAULO0AC006;
SWAC-RJ41-01;METRO;8;;RJRIODEJANEI0AC004;
SWAC-ES42-01;METRO;8;;ESCARIACICA0AC004;
SWAC-SP43-01;METRO;8;;SPCAMPINAS0AC005;
SWAC-MG44-01;METRO;8;;MGBELOHORIZO0AC006;
SWAC-ES45-01;METRO;8;;ESCARIACICA0AC005;
SWAC-RJ46-01;METRO;8;;RJRIODEJANEI0AC005;
SWAC-RJ47-01;METRO;8;;RJSAOGONCALO0AC002;
SWAC-MG48-01;METRO;8;;MGUBERLANDIA0AC005;
SWAC-MG49-01;METRO;8;;MGUBERLANDIA0AC006;
SWAC-MG50-01;METRO;8;;MGBELOHORIZO0AC007;
SWAC-MG51-01;METRO;8;;MGBELOHORIZO0AC008;
SWAC-MG52-01;METRO;8;;MGBELOHORIZO0AC009;
SWAC-SP53-01;METRO;8;;SPCAMPINAS0AC006;
SWAC-SP54-01;METRO;8;;SPSAOPAULO0AC007;
SWAC-MG55-01;METRO;8;;MGBELOHORIZO0AC010;
SWAC-RJ56-01;METRO;8;;RJDUQUEDECAX0AC003;
SWAC-RJ57-01;METRO;8;;RJSAOGONCALO0AC003;
SWAC-MG58-01;METRO;8;;MGBELOHORIZO0AC011;
SWAC-RJ59-01;METRO;8;;RJRIODEJANEI0AC006;
SWAC-RJ60-01;METRO;8;;RJRIODEJANEI0AC007;
SWAC-MG61-01;METRO;8;;MGBELOHORIZO0AC012;
SWAC-MG62-01;METRO;8;;MGCONTAGEM0AC001;
SWAC-RJ63-01;METRO;8;;RJRIODEJANEI0AC008;
SWAC-ES64-01;METRO;8;;ESVILAVELHA0AC002;
SWAC-ES65-01;METRO;8;;ESCARIACICA0AC006;
SWAC-MG66-01;METRO;8;;MGBELOHORIZO0AC013;
SWAC-SP67-01;METRO;8;;SPGUARULHOS0AC007;
SWAC-MG68-01;METRO;8;;MGBELOHORIZO0AC014;
SWAC-MG69-01;METRO;8;;MGCONTAGEM0AC002;
SWAC-SP70-01;METRO;8;;SPCAMPINAS0AC007;
SWAC-MG71-01;METRO;8;;MGUBERLANDIA0AC007;
SWAC-RJ72-01;METRO;8;;RJRIODEJANEI0AC009;
SWAC-SP73-01;METRO;8;;SPCAMPINAS0AC008;
SWAC-RJ74-01;METRO;8;;RJRIODEJANEI0AC010;
SWAC-SP75-01;METRO;8;;SPSAOPAULO0AC008;
SWAC-SP76-01;METRO;8;;SPSAOPAULO0AC009;
SWAC-RJ77-01;METRO;8;;RJSAOGONCALO0AC004;
SWAC-SP78-01;METRO;8;;SPCAMPINAS0AC009;
SWAC-RJ79-01;METRO;8;;RJRIODEJANEI0AC011;
SWAC-MG80-01;METRO;8;;MGCONTAGEM0AC003;
SWAC-ES81-01;METRO;8;;ESCARIACICA0AC007;
SWAC-RJ82-01;METRO;8;;RJRIODEJANEI0AC012;
SWAC-MG83-01;METRO;8;;MGBELOHORIZO0AC015;
SWAC-SP84-01;METRO;8;;SPSAOPAULO0AC010;
SWAC-RJ85-01;METRO;8;;RJRIODEJANEI0AC013;
SWAC-MG86-01;METRO;8;;MGBELOHORIZO0AC016;
SWAC-SP87-01;METRO;8;;SPSAOPAULO0AC011;
SWAC-MG88-01;METRO;8;;MGCONTAGEM0AC004;
SWAC-SP89-01;METRO;8;;SPSAOPAULO0AC012;
SWAC-SP90-01;METRO;8;;SPCAMPINAS0AC010;
SWAC-SP91-01;METRO;8;;SPCAMPINAS0AC011;
SWAC-ES92-01;METRO;8;;ESCARIACICA0AC008;
SWAC-ES93-01;METRO;8;;ESVITORIA0AC006;
SWAC-ES94-01;METRO;8;;ESCARIACICA0AC009;
SWAC-RJ95-01;METRO;8;;RJDUQUEDECAX0AC004;
SWAC-MG96-01;METRO;8;;MGUBERLANDIA0AC008;
SWAC-SP97-01;METRO;8;;SPSAOPAULO0AC013;
SWAC-MG98-01;METRO;8;;MGCONTAGEM0AC005;
SWAC-SP99-01;METRO;8;;SPGUARULHOS0AC008;
SWAC-SP100-01;METRO;8;;SPGUARULHOS0AC009;
SWAC-SC01-01;METRO;8;;SCJOINVILLE0AC001;
SWAC-RS02-01;METRO;8;;RSPORTOALEGR0AC001;
SWAC-PR03-01;METRO;8;;PRMARINGA0AC001;
SWAC-SC04-01;METRO;8;;SCBLUMENAU0AC001;
SWAC-PR05-01;METRO;8;;PRLONDRINA0AC001;
SWAC-PR06-01;METRO;8;;PRCURITIBA0AC001;
SWAC-PR07-01;METRO;8;;PRCURITIBA0AC002;
SWAC-RS08-01;METRO;8;;RSPORTOALEGR0AC002;
SWAC-RS09-01;METRO;8;;RSCAXIASDOSU0AC001;
SWAC-PR10-01;METRO;8;;PRLONDRINA0AC002;
SWAC-RS11-01;METRO;8;;RSCANOAS0AC001;
SWAC-PR12-01;METRO;8;;PRLONDRINA0AC003;
SWAC-SC13-01;METRO;8;;SCFLORIANOPO0AC001;
SWAC-SC14-01;METRO;8;;SCFLORIANOPO0AC002;
SWAC-PR15-01;METRO;8;;PRCURITIBA0AC003;
SWAC-SC16-01;METRO;8;;SCFLORIANOPO0AC003;
SWAC-SC17-01;METRO;8;;SCBLUMENAU0AC002;
SWAC-SC18-01;METRO;8;;SCFLORIANOPO0AC004;
SWAC-SC19-01;METRO;8;;SCFLORIANOPO0AC005;
SWAC-SC20-01;METRO;8;;SCJOINVILLE0AC002;
SWAC-RS21-01;METRO;8;;RSPORTOALEGR0AC003;
SWAC-RS22-01;METRO;8;;RSPORTOALEGR0AC004;
SWAC-RS23-01;METRO;8;;RSCAXIASDOSU0AC002;
SWAC-RS24-01;METRO;8;;RSPORTOALEGR0AC005;
SWAC-PR25-01;METRO;8;;PRCURITIBA0AC004;
SWAC-RS26-01;METRO;8;;RSPORTOALEGR0AC006;
SWAC-SC27-01;METRO;8;;SCFLORIANOPO0AC006;
SWAC-SC28-01;METRO;8;;SCBLUMENAU0AC003;
