endpoint-a;endpoint-b;connection_text;strokeWidth;strokeColor;dashed;fontStyle;fontSize
RTRR-Centr07-01;RTIC-BRA06-01;Reflector Link;;;;;
RTRR-Centr07-01;RTIC-CUI07-01;Reflector Link;;;;;
RTRR-Sudes08-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Sudes08-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Sudes09-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Sudes09-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Sudes10-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Sudes10-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Campi11-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Campi11-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Belo 12-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Belo 12-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Rio d13-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Rio d13-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Sul114-01;RTIC-CUR13-01;Reflector Link;;;;;
RTRR-Sul114-01;RTIC-POR14-01;Reflector Link;;;;;
RTRR-Sul215-01;RTIC-CUR13-01;Reflector Link;;;;;
RTRR-Sul215-01;RTIC-POR14-01;Reflector Link;;;;;
RTPR-PA01-01;RTIC-BEL02-01;Peering Link;;;;;
RTPR-PA01-01;RTIC-FOR03-01;Peering Link;;;;;
RTPR-PE01-01;RTIC-REC04-01;Peering Link;;;;;
RTPR-PE01-01;RTIC-FOR03-01;Peering Link;;;;;
RTPR-SE02-01;RTIC-SAL05-01;Peering Link;;;;;
RTPR-SE02-01;RTIC-REC04-01;Peering Link;;;;;
RTPR-RN03-01;RTIC-REC04-01;Peering Link;;;;;
RTPR-RN03-01;RTIC-FOR03-01;Peering Link;;;;;
RTPR-MT01-01;RTIC-CUI07-01;Peering Link;;;;;
RTPR-MT01-01;RTIC-BRA06-01;Peering Link;;;;;
RTPR-SP01-01;RTIC-SAO08-01;Peering Link;;;;;
RTPR-SP01-01;RTIC-CUR13-01;Peering Link;;;;;
RTPR-SP02-01;RTIC-SAO08-01;Peering Link;;;;;
RTPR-SP02-01;RTIC-CUR13-01;Peering Link;;;;;
RTPR-ES03-01;RTIC-VIT10-01;Peering Link;;;;;
RTPR-ES03-01;RTIC-VIT12-01;Peering Link;;;;;
RTPR-SP04-01;RTIC-SAO08-01;Peering Link;;;;;
RTPR-SP04-01;RTIC-CUR13-01;Peering Link;;;;;
RTPR-RS01-01;RTIC-POR14-01;Peering Link;;;;;
RTPR-RS01-01;RTIC-CUR13-01;Peering Link;;;;;
RTED-RO01-01;RTED-RO01-02;Edge Pair;;;;;
RTED-RO01-01;RTIC-MAN01-01;Edge to Core;;;;;
RTED-RO01-02;RTIC-CUI07-01;Edge to Core;;;;;
RTED-AM02-01;RTED-AM02-02;Edge Pair;;;;;
RTED-AM02-01;RTIC-MAN01-01;Edge to Core;;;;;
RTED-AM02-02;RTIC-BEL02-01;Edge to Core;;;;;
RTED-PI01-01;RTED-PI01-02;Edge Pair;;;;;
RTED-PI01-01;RTIC-FOR03-01;Edge to Core;;;;;
RTED-PI01-02;RTIC-BEL02-01;Edge to Core;;;;;
RTED-PI02-01;RTED-PI02-02;Edge Pair;;;;;
RTED-PI02-01;RTIC-FOR03-01;Edge to Core;;;;;
RTED-PI02-02;RTIC-BEL02-01;Edge to Core;;;;;
RTED-PE03-01;RTED-PE03-02;Edge Pair;;;;;
RTED-PE03-01;RTIC-REC04-01;Edge to Core;;;;;
RTED-PE03-02;RTIC-FOR03-01;Edge to Core;;;;;
RTED-RN04-01;RTED-RN04-02;Edge Pair;;;;;
RTED-RN04-01;RTIC-REC04-01;Edge to Core;;;;;
RTED-RN04-02;RTIC-FOR03-01;Edge to Core;;;;;
RTED-AL05-01;RTED-AL05-02;Edge Pair;;;;;
RTED-AL05-01;RTIC-REC04-01;Edge to Core;;;;;
RTED-AL05-02;RTIC-SAL05-01;Edge to Core;;;;;
RTED-MT01-01;RTED-MT01-02;Edge Pair;;;;;
RTED-MT01-01;RTIC-CUI07-01;Edge to Core;;;;;
RTED-MT01-02;RTIC-BRA06-01;Edge to Core;;;;;
RTED-MS02-01;RTED-MS02-02;Edge Pair;;;;;
RTED-MS02-01;RTIC-CUR13-01;Edge to Core;;;;;
RTED-MS02-02;RTIC-CUI07-01;Edge to Core;;;;;
RTED-SP01-01;RTED-SP01-02;Edge Pair;;;;;
RTED-SP01-01;RTIC-SAO08-01;Edge to Core;;;;;
RTED-SP01-02;RTIC-CUR13-01;Edge to Core;;;;;
RTED-SP02-01;RTED-SP02-02;Edge Pair;;;;;
RTED-SP02-01;RTIC-SAO08-01;Edge to Core;;;;;
RTED-SP02-02;RTIC-CUR13-01;Edge to Core;;;;;
RTED-RJ03-01;RTED-RJ03-02;Edge Pair;;;;;
RTED-RJ03-01;RTIC-RIO09-01;Edge to Core;;;;;
RTED-RJ03-02;RTIC-BEL11-01;Edge to Core;;;;;
RTED-SP04-01;RTED-SP04-02;Edge Pair;;;;;
RTED-SP04-01;RTIC-SAO08-01;Edge to Core;;;;;
RTED-SP04-02;RTIC-CUR13-01;Edge to Core;;;;;
RTED-ES05-01;RTED-ES05-02;Edge Pair;;;;;
RTED-ES05-01;RTIC-VIT10-01;Edge to Core;;;;;
RTED-ES05-02;RTIC-VIT12-01;Edge to Core;;;;;
RTED-SP06-01;RTED-SP06-02;Edge Pair;;;;;
RTED-SP06-01;RTIC-SAO08-01;Edge to Core;;;;;
RTED-SP06-02;RTIC-CUR13-01;Edge to Core;;;;;
RTED-SP07-01;RTED-SP07-02;Edge Pair;;;;;
RTED-SP07-01;RTIC-SAO08-01;Edge to Core;;;;;
RTED-SP07-02;RTIC-CUR13-01;Edge to Core;;;;;
RTED-ES08-01;RTED-ES08-02;Edge Pair;;;;;
RTED-ES08-01;RTIC-VIT10-01;Edge to Core;;;;;
RTED-ES08-02;RTIC-VIT12-01;Edge to Core;;;;;
RTED-SC01-01;RTED-SC01-02;Edge Pair;;;;;
RTED-SC01-01;RTIC-CUR13-01;Edge to Core;;;;;
RTED-SC01-02;RTIC-POR14-01;Edge to Core;;;;;
RTED-RS02-01;RTED-RS02-02;Edge Pair;;;;;
RTED-RS02-01;RTIC-POR14-01;Edge to Core;;;;;
RTED-RS02-02;RTIC-CUR13-01;Edge to Core;;;;;
SWAC-AM18-01;SWAC-AM01-01;Metro Ring;;;;;
SWAC-AM01-01;SWAC-AM15-01;Metro Ring;;;;;
SWAC-AM15-01;SWAC-AM18-01;Metro Ring;;;;;
SWAC-AM18-01;RTED-AM02-01;Metro to Edge;;;;;
SWAC-AM15-01;RTED-AM02-02;Metro to Edge;;;;;
SWAC-PA10-01;SWAC-PA08-01;Metro Ring;;;;;
SWAC-PA08-01;SWAC-PA02-01;Metro Ring;;;;;
SWAC-PA02-01;SWAC-PA10-01;Metro Ring;;;;;
SWAC-PA10-01;RTED-PI01-01;Metro to Edge;;;;;
SWAC-PA02-01;RTED-PI01-02;Metro to Edge;;;;;
SWAC-TO03-01;SWAC-TO19-01;Metro Ring;;;;;
SWAC-TO19-01;SWAC-TO12-01;Metro Ring;;;;;
SWAC-TO12-01;SWAC-TO03-01;Metro Ring;;;;;
SWAC-TO03-01;RTED-MT01-01;Metro to Edge;;;;;
SWAC-TO12-01;RTED-MT01-02;Metro to Edge;;;;;
SWAC-TO04-01;RTED-PI01-01;Metro to Edge;;;;;
SWAC-TO04-01;RTED-PI01-02;Metro to Edge;;;;;
SWAC-AP05-01;RTED-AM02-01;Metro to Edge;;;;;
SWAC-AP05-01;RTED-AM02-02;Metro to Edge;;;;;
SWAC-RR06-01;RTED-AM02-01;Metro to Edge;;;;;
SWAC-RR06-01;RTED-AM02-02;Metro to Edge;;;;;
SWAC-AC07-01;RTED-RO01-01;Metro to Edge;;;;;
SWAC-AC07-01;RTED-RO01-02;Metro to Edge;;;;;
SWAC-AM09-01;SWAC-AM14-01;Metro Ring;;;;;
SWAC-AM14-01;SWAC-AM09-01;Metro Ring;;;;;
SWAC-AM09-01;RTED-AM02-01;Metro to Edge;;;;;
SWAC-AM14-01;RTED-AM02-02;Metro to Edge;;;;;
SWAC-AM11-01;RTED-AM02-01;Metro to Edge;;;;;
SWAC-AM11-01;RTED-AM02-02;Metro to Edge;;;;;
SWAC-AC13-01;RTED-RO01-01;Metro to Edge;;;;;
SWAC-AC13-01;RTED-RO01-02;Metro to Edge;;;;;
SWAC-RR16-01;RTED-AM02-01;Metro to Edge;;;;;
SWAC-RR16-01;RTED-AM02-02;Metro to Edge;;;;;
SWAC-RO17-01;RTED-RO01-01;Metro to Edge;;;;;
SWAC-RO17-01;RTED-RO01-02;Metro to Edge;;;;;
SWAC-CE01-01;SWAC-CE60-01;Metro Ring;;;;;
SWAC-CE60-01;SWAC-CE08-01;Metro Ring;;;;;
SWAC-CE08-01;SWAC-CE01-01;Metro Ring;;;;;
SWAC-CE01-01;RTED-RN04-01;Metro to Edge;;;;;
SWAC-CE08-01;RTED-RN04-02;Metro to Edge;;;;;
SWAC-MA14-01;SWAC-MA02-01;Metro Ring;;;;;
SWAC-MA02-01;SWAC-MA19-01;Metro Ring;;;;;
SWAC-MA19-01;SWAC-MA41-01;Metro Ring;;;;;
SWAC-MA41-01;SWAC-MA14-01;Metro Ring;;;;;
SWAC-MA14-01;RTED-PI01-01;Metro to Edge;;;;;
SWAC-MA41-01;RTED-PI01-02;Metro to Edge;;;;;
SWAC-PE05-01;SWAC-PE56-01;Metro Ring;;;;;
SWAC-PE56-01;SWAC-PE66-01;Metro Ring;;;;;
SWAC-PE66-01;SWAC-PE10-01;Metro Ring;;;;;
SWAC-PE10-01;SWAC-PE03-01;Metro Ring;;;;;
SWAC-PE03-01;SWAC-PE37-01;Metro Ring;;;;;
SWAC-PE37-01;SWAC-PE05-01;Metro Ring;;;;;
SWAC-PE05-01;RTED-PE03-01;Metro to Edge;;;;;
SWAC-PE37-01;RTED-PE03-02;Metro to Edge;;;;;
SWAC-CE21-01;SWAC-CE51-01;Metro Ring;;;;;
SWAC-CE51-01;SWAC-CE07-01;Metro Ring;;;;;
SWAC-CE07-01;SWAC-CE04-01;Metro Ring;;;;;
SWAC-CE04-01;SWAC-CE28-01;Metro Ring;;;;;
SWAC-CE28-01;SWAC-CE40-01;Metro Ring;;;;;
SWAC-CE40-01;SWAC-CE21-01;Metro Ring;;;;;
SWAC-CE21-01;RTED-PI01-01;Metro to Edge;;;;;
SWAC-CE40-01;RTED-PI01-02;Metro to Edge;;;;;
SWAC-RN06-01;SWAC-RN55-01;Metro Ring;;;;;
SWAC-RN55-01;SWAC-RN06-01;Metro Ring;;;;;
SWAC-RN06-01;RTED-RN04-01;Metro to Edge;;;;;
SWAC-RN55-01;RTED-RN04-02;Metro to Edge;;;;;
SWAC-PB33-01;SWAC-PB52-01;Metro Ring;;;;;
SWAC-PB52-01;SWAC-PB48-01;Metro Ring;;;;;
SWAC-PB48-01;SWAC-PB29-01;Metro Ring;;;;;
SWAC-PB29-01;SWAC-PB64-01;Metro Ring;;;;;
SWAC-PB64-01;SWAC-PB15-01;Metro Ring;;;;;
SWAC-PB15-01;SWAC-PB09-01;Metro Ring;;;;;
SWAC-PB09-01;SWAC-PB27-01;Metro Ring;;;;;
SWAC-PB27-01;SWAC-PB67-01;Metro Ring;;;;;
SWAC-PB67-01;SWAC-PB33-01;Metro Ring;;;;;
SWAC-PB33-01;RTED-PE03-01;Metro to Edge;;;;;
SWAC-PB67-01;RTED-PE03-02;Metro to Edge;;;;;
SWAC-BA11-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-BA11-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-BA16-01;SWAC-BA12-01;Metro Ring;;;;;
SWAC-BA12-01;SWAC-BA36-01;Metro Ring;;;;;
SWAC-BA36-01;SWAC-BA16-01;Metro Ring;;;;;
SWAC-BA16-01;RTED-ES05-01;Metro to Edge;;;;;
SWAC-BA36-01;RTED-ES05-02;Metro to Edge;;;;;
SWAC-CE13-01;SWAC-CE20-01;Metro Ring;;;;;
SWAC-CE20-01;SWAC-CE32-01;Metro Ring;;;;;
SWAC-CE32-01;SWAC-CE57-01;Metro Ring;;;;;
SWAC-CE57-01;SWAC-CE22-01;Metro Ring;;;;;
SWAC-CE22-01;SWAC-CE43-01;Metro Ring;;;;;
SWAC-CE43-01;SWAC-CE13-01;Metro Ring;;;;;
SWAC-CE13-01;RTED-RN04-01;Metro to Edge;;;;;
SWAC-CE43-01;RTED-RN04-02;Metro to Edge;;;;;
SWAC-MA53-01;SWAC-MA34-01;Metro Ring;;;;;
SWAC-MA34-01;SWAC-MA17-01;Metro Ring;;;;;
SWAC-MA17-01;SWAC-MA53-01;Metro Ring;;;;;
SWAC-MA53-01;RTED-PI02-01;Metro to Edge;;;;;
SWAC-MA17-01;RTED-PI02-02;Metro to Edge;;;;;
SWAC-RN59-01;SWAC-RN47-01;Metro Ring;;;;;
SWAC-RN47-01;SWAC-RN18-01;Metro Ring;;;;;
SWAC-RN18-01;SWAC-RN46-01;Metro Ring;;;;;
SWAC-RN46-01;SWAC-RN59-01;Metro Ring;;;;;
SWAC-RN59-01;RTED-RN04-01;Metro to Edge;;;;;
SWAC-RN46-01;RTED-RN04-02;Metro to Edge;;;;;
SWAC-PI54-01;SWAC-PI31-01;Metro Ring;;;;;
SWAC-PI31-01;SWAC-PI65-01;Metro Ring;;;;;
SWAC-PI65-01;SWAC-PI23-01;Metro Ring;;;;;
SWAC-PI23-01;SWAC-PI54-01;Metro Ring;;;;;
SWAC-PI54-01;RTED-PI02-01;Metro to Edge;;;;;
SWAC-PI23-01;RTED-PI02-02;Metro to Edge;;;;;
SWAC-AL24-01;SWAC-AL61-01;Metro Ring;;;;;
SWAC-AL61-01;SWAC-AL24-01;Metro Ring;;;;;
SWAC-AL24-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-AL61-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-PB25-01;SWAC-PB49-01;Metro Ring;;;;;
SWAC-PB49-01;SWAC-PB25-01;Metro Ring;;;;;
SWAC-PB25-01;RTED-PE03-01;Metro to Edge;;;;;
SWAC-PB49-01;RTED-PE03-02;Metro to Edge;;;;;
SWAC-PE26-01;RTED-PE03-01;Metro to Edge;;;;;
SWAC-PE26-01;RTED-PE03-02;Metro to Edge;;;;;
SWAC-SE50-01;SWAC-SE30-01;Metro Ring;;;;;
SWAC-SE30-01;SWAC-SE50-01;Metro Ring;;;;;
SWAC-SE50-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-SE30-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-BA35-01;SWAC-BA45-01;Metro Ring;;;;;
SWAC-BA45-01;SWAC-BA35-01;Metro Ring;;;;;
SWAC-BA35-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-BA45-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-PE38-01;RTED-PE03-01;Metro to Edge;;;;;
SWAC-PE38-01;RTED-PE03-02;Metro to Edge;;;;;
SWAC-AL39-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-AL39-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-AL42-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-AL42-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-PI44-01;RTED-PI01-01;Metro to Edge;;;;;
SWAC-PI44-01;RTED-PI01-02;Metro to Edge;;;;;
SWAC-SE58-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-SE58-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-SE62-01;RTED-AL05-01;Metro to Edge;;;;;
SWAC-SE62-01;RTED-AL05-02;Metro to Edge;;;;;
SWAC-PB63-01;RTED-PE03-01;Metro to Edge;;;;;
SWAC-PB63-01;RTED-PE03-02;Metro to Edge;;;;;
SWAC-DF04-01;SWAC-DF05-01;Metro Ring;;;;;
SWAC-DF05-01;SWAC-DF06-01;Metro Ring;;;;;
SWAC-DF06-01;SWAC-DF01-01;Metro Ring;;;;;
SWAC-DF01-01;SWAC-DF04-01;Metro Ring;;;;;
SWAC-DF04-01;RTED-SP01-01;Metro to Edge;;;;;
SWAC-DF01-01;RTED-SP01-02;Metro to Edge;;;;;
SWAC-MS02-01;SWAC-MS08-01;Metro Ring;;;;;
SWAC-MS08-01;SWAC-MS09-01;Metro Ring;;;;;
SWAC-MS09-01;SWAC-MS02-01;Metro Ring;;;;;
SWAC-MS02-01;RTED-MS02-01;Metro to Edge;;;;;
SWAC-MS09-01;RTED-MS02-02;Metro to Edge;;;;;
SWAC-GO03-01;RTED-MS02-01;Metro to Edge;;;;;
SWAC-GO03-01;RTED-MS02-02;Metro to Edge;;;;;
SWAC-MS07-01;RTED-MS02-01;Metro to Edge;;;;;
SWAC-MS07-01;RTED-MS02-02;Metro to Edge;;;;;
SWAC-MT15-01;SWAC-MT18-01;Metro Ring;;;;;
SWAC-MT18-01;SWAC-MT10-01;Metro Ring;;;;;
SWAC-MT10-01;SWAC-MT15-01;Metro Ring;;;;;
SWAC-MT15-01;RTED-MT01-01;Metro to Edge;;;;;
SWAC-MT10-01;RTED-MT01-02;Metro to Edge;;;;;
SWAC-MS11-01;RTED-MS02-01;Metro to Edge;;;;;
SWAC-MS11-01;RTED-MS02-02;Metro to Edge;;;;;
SWAC-GO14-01;SWAC-GO16-01;Metro Ring;;;;;
SWAC-GO16-01;SWAC-GO13-01;Metro Ring;;;;;
SWAC-GO13-01;SWAC-GO12-01;Metro Ring;;;;;
SWAC-GO12-01;SWAC-GO14-01;Metro Ring;;;;;
SWAC-GO14-01;RTED-MS02-01;Metro to Edge;;;;;
SWAC-GO12-01;RTED-MS02-02;Metro to Edge;;;;;
SWAC-MT17-01;RTED-MT01-01;Metro to Edge;;;;;
SWAC-MT17-01;RTED-MT01-02;Metro to Edge;;;;;
SWAC-ES92-01;SWAC-ES01-01;Metro Ring;;;;;
SWAC-ES01-01;SWAC-ES94-01;Metro Ring;;;;;
SWAC-ES94-01;SWAC-ES24-01;Metro Ring;;;;;
SWAC-ES24-01;SWAC-ES42-01;Metro Ring;;;;;
SWAC-ES42-01;SWAC-ES81-01;Metro Ring;;;;;
SWAC-ES81-01;SWAC-ES45-01;Metro Ring;;;;;
SWAC-ES45-01;SWAC-ES26-01;Metro Ring;;;;;
SWAC-ES26-01;SWAC-ES65-01;Metro Ring;;;;;
SWAC-ES65-01;SWAC-ES92-01;Metro Ring;;;;;
SWAC-ES92-01;RTED-ES05-01;Metro to Edge;;;;;
SWAC-ES65-01;RTED-ES05-02;Metro to Edge;;;;;
SWAC-ES25-01;SWAC-ES93-01;Metro Ring;;;;;
SWAC-ES93-01;SWAC-ES34-01;Metro Ring;;;;;
SWAC-ES34-01;SWAC-ES10-01;Metro Ring;;;;;
SWAC-ES10-01;SWAC-ES39-01;Metro Ring;;;;;
SWAC-ES39-01;SWAC-ES02-01;Metro Ring;;;;;
SWAC-ES02-01;SWAC-ES25-01;Metro Ring;;;;;
SWAC-ES25-01;RTED-ES08-01;Metro to Edge;;;;;
SWAC-ES02-01;RTED-ES08-02;Metro to Edge;;;;;
SWAC-SP30-01;SWAC-SP67-01;Metro Ring;;;;;
SWAC-SP67-01;SWAC-SP33-01;Metro Ring;;;;;
SWAC-SP33-01;SWAC-SP22-01;Metro Ring;;;;;
SWAC-SP22-01;SWAC-SP99-01;Metro Ring;;;;;
SWAC-SP99-01;SWAC-SP03-01;Metro Ring;;;;;
SWAC-SP03-01;SWAC-SP38-01;Metro Ring;;;;;
SWAC-SP38-01;SWAC-SP05-01;Metro Ring;;;;;
SWAC-SP05-01;SWAC-SP100-01;Metro Ring;;;;;
SWAC-SP100-01;SWAC-SP30-01;Metro Ring;;;;;
SWAC-SP30-01;RTED-SP06-01;Metro to Edge;;;;;
SWAC-SP100-01;RTED-SP06-02;Metro to Edge;;;;;
SWAC-SP16-01;SWAC-SP97-01;Metro Ring;;;;;
SWAC-SP97-01;SWAC-SP76-01;Metro Ring;;;;;
SWAC-SP76-01;SWAC-SP84-01;Metro Ring;;;;;
SWAC-SP84-01;SWAC-SP89-01;Metro Ring;;;;;
SWAC-SP89-01;SWAC-SP75-01;Metro Ring;;;;;
SWAC-SP75-01;SWAC-SP21-01;Metro Ring;;;;;
SWAC-SP21-01;SWAC-SP37-01;Metro Ring;;;;;
SWAC-SP37-01;SWAC-SP23-01;Metro Ring;;;;;
SWAC-SP23-01;SWAC-SP54-01;Metro Ring;;;;;
SWAC-SP54-01;SWAC-SP04-01;Metro Ring;;;;;
SWAC-SP04-01;SWAC-SP87-01;Metro Ring;;;;;
SWAC-SP87-01;SWAC-SP40-01;Metro Ring;;;;;
SWAC-SP40-01;SWAC-SP16-01;Metro Ring;;;;;
SWAC-SP16-01;RTED-SP04-01;Metro to Edge;;;;;
SWAC-SP40-01;RTED-SP04-02;Metro to Edge;;;;;
SWAC-RJ56-01;SWAC-RJ18-01;Metro Ring;;;;;
SWAC-RJ18-01;SWAC-RJ95-01;Metro Ring;;;;;
SWAC-RJ95-01;SWAC-RJ06-01;Metro Ring;;;;;
SWAC-RJ06-01;SWAC-RJ56-01;Metro Ring;;;;;
SWAC-RJ56-01;RTED-RJ03-01;Metro to Edge;;;;;
SWAC-RJ06-01;RTED-RJ03-02;Metro to Edge;;;;;
SWAC-MG71-01;SWAC-MG49-01;Metro Ring;;;;;
SWAC-MG49-01;SWAC-MG32-01;Metro Ring;;;;;
SWAC-MG32-01;SWAC-MG96-01;Metro Ring;;;;;
SWAC-MG96-01;SWAC-MG15-01;Metro Ring;;;;;
SWAC-MG15-01;SWAC-MG36-01;Metro Ring;;;;;
SWAC-MG36-01;SWAC-MG48-01;Metro Ring;;;;;
SWAC-MG48-01;SWAC-MG07-01;Metro Ring;;;;;
SWAC-MG07-01;SWAC-MG71-01;Metro Ring;;;;;
SWAC-MG71-01;RTED-SP01-01;Metro to Edge;;;;;
SWAC-MG07-01;RTED-SP01-02;Metro to Edge;;;;;
SWAC-ES08-01;SWAC-ES64-01;Metro Ring;;;;;
SWAC-ES64-01;SWAC-ES08-01;Metro Ring;;;;;
SWAC-ES08-01;RTED-ES08-01;Metro to Edge;;;;;
SWAC-ES64-01;RTED-ES08-02;Metro to Edge;;;;;
SWAC-MG55-01;SWAC-MG68-01;Metro Ring;;;;;
SWAC-MG68-01;SWAC-MG66-01;Metro Ring;;;;;
SWAC-MG66-01;SWAC-MG83-01;Metro Ring;;;;;
SWAC-MG83-01;SWAC-MG12-01;Metro Ring;;;;;
SWAC-MG12-01;SWAC-MG11-01;Metro Ring;;;;;
SWAC-MG11-01;SWAC-MG61-01;Metro Ring;;;;;
SWAC-MG61-01;SWAC-MG58-01;Metro Ring;;;;;
SWAC-MG58-01;SWAC-MG28-01;Metro Ring;;;;;
SWAC-MG28-01;SWAC-MG52-01;Metro Ring;;;;;
SWAC-MG52-01;SWAC-MG51-01;Metro Ring;;;;;
SWAC-MG51-01;SWAC-MG09-01;Metro Ring;;;;;
SWAC-MG09-01;SWAC-MG50-01;Metro Ring;;;;;
SWAC-MG50-01;SWAC-MG86-01;Metro Ring;;;;;
SWAC-MG86-01;SWAC-MG29-01;Metro Ring;;;;;
SWAC-MG29-01;SWAC-MG44-01;Metro Ring;;;;;
SWAC-MG44-01;SWAC-MG55-01;Metro Ring;;;;;
SWAC-MG55-01;RTED-RJ03-01;Metro to Edge;;;;;
SWAC-MG44-01;RTED-RJ03-02;Metro to Edge;;;;;
SWAC-SP17-01;SWAC-SP19-01;Metro Ring;;;;;
SWAC-SP19-01;SWAC-SP91-01;Metro Ring;;;;;
SWAC-SP91-01;SWAC-SP78-01;Metro Ring;;;;;
SWAC-SP78-01;SWAC-SP90-01;Metro Ring;;;;;
SWAC-SP90-01;SWAC-SP13-01;Metro Ring;;;;;
SWAC-SP13-01;SWAC-SP14-01;Metro Ring;;;;;
SWAC-SP14-01;SWAC-SP53-01;Metro Ring;;;;;
SWAC-SP53-01;SWAC-SP73-01;Metro Ring;;;;;
SWAC-SP73-01;SWAC-SP70-01;Metro Ring;;;;;
SWAC-SP70-01;SWAC-SP43-01;Metro Ring;;;;;
SWAC-SP43-01;SWAC-SP17-01;Metro Ring;;;;;
SWAC-SP17-01;RTED-SP01-01;Metro to Edge;;;;;
SWAC-SP43-01;RTED-SP01-02;Metro to Edge;;;;;
SWAC-RJ47-01;SWAC-RJ20-01;Metro Ring;;;;;
SWAC-RJ20-01;SWAC-RJ77-01;Metro Ring;;;;;
SWAC-RJ77-01;SWAC-RJ57-01;Metro Ring;;;;;
SWAC-RJ57-01;SWAC-RJ47-01;Metro Ring;;;;;
SWAC-RJ47-01;RTED-RJ03-01;Metro to Edge;;;;;
SWAC-RJ57-01;RTED-RJ03-02;Metro to Edge;;;;;
