siteid;Location;GeographicRegion;Latitude;Longitude
DFBRASILIA0IC001;Brasilia;Centro-Oeste;15.46.49.44S;47.55.49.35W
MTCUIABA0IC001;Cuiaba;Centro-Oeste;15.35.58.87S;56.6.1.41W
SPSAOPAULO0IC001;Sao Paulo;Sudeste;23.32.58.53S;46.37.49.78W
RJRIODEJANEI0IC001;Rio de Janeiro;Sudeste;22.54.35.97S;43.11.58.46W
ESVITORIA0IC001;Vitoria;Sudeste;20.19.13.53S;40.20.24.73W
MGBELOHORIZO0IC001;Belo Horizonte;Sudeste;19.55.1.23S;43.56.4.53W
ESVITORIA0IC002;Vitoria;Sudeste;20.19.10.30S;40.20.13.10W
PRCURITIBA0IC001;Curitiba;Sul;25.25.13.01S;49.16.10.35W
RSPORTOALEGR0IC001;Porto Alegre;Sul;30.1.46.47S;51.13.47.60W
AMMANAUS0RR001;Manaus;Norte;3.5.58.61S;60.0.0.54W
PABELEM0RR001;Belem;Norte;1.27.34.48S;48.29.59.65W
CEFORTALEZA0RR001;Fortaleza;Nordeste;3.43.10.61S;38.32.23.12W
RNNATAL0RR001;Natal;Nordeste;5.46.48.28S;35.12.0.56W
ALMACEIO0RR001;Maceio;Nordeste;9.39.57.60S;35.44.5.88W
DFBRASILIA0RR001;Brasilia;Centro-Oeste;15.46.48.14S;47.55.49.13W
MTCUIABA0RR001;Cuiaba;Centro-Oeste;15.35.59.90S;56.6.0.20W
SPSAOPAULO0RR001;Sao Paulo;Sudeste;23.32.58.25S;46.37.47.35W
RJRIODEJANEI0RR001;Rio de Janeiro;Sudeste;22.54.34.81S;43.12.1.33W
MGBELOHORIZO0RR001;Belo Horizonte;Sudeste;19.55.12.72S;43.56.24.29W
SPCAMPINAS0RR001;Campinas;Sudeste;22.54.34.67S;47.3.36.09W
MGBELOHORIZO0RR002;Belo Horizonte;Sudeste;19.54.58.47S;43.56.3.17W
RJRIODEJANEI0RR002;Rio de Janeiro;Sudeste;22.54.40.17S;43.12.32.74W
PRCURITIBA0RR001;Curitiba;Sul;25.25.13.12S;49.16.11.38W
SCJOINVILLE0RR001;Joinville;Sul;26.17.58.58S;48.51.1.11W
PABELEM0PR001;Belem;Norte;1.27.20.94S;48.29.26.49W
PERECIFE0PR001;Recife;Nordeste;8.2.58.75S;34.54.0.12W
SEARACAJU0PR001;Aracaju;Nordeste;10.56.48.88S;37.4.21.39W
RNNATAL0PR001;Natal;Nordeste;5.46.49.27S;35.11.59.53W
MTCUIABA0PR001;Cuiaba;Centro-Oeste;15.36.3.37S;56.5.52.91W
SPCAMPINAS0PR001;Campinas;Sudeste;22.54.19.20S;47.3.37.33W
SPSAOPAULO0PR001;Sao Paulo;Sudeste;23.32.58.54S;46.37.49.25W
ESVITORIA0PR001;Vitoria;Sudeste;20.19.10.31S;40.20.23.84W
SPCAMPINAS0PR002;Campinas;Sudeste;22.54.21.52S;47.3.38.40W
RSPORTOALEGR0PR001;Porto Alegre;Sul;30.2.3.48S;51.13.2.50W
ROARIQUEMES0ED001;Ariquemes;Norte;9.54.36.73S;63.2.23.51W
ROPORTOVELHO0ED001;Porto Velho;Norte;8.45.35.81S;63.54.0.27W
AMITACOATIAR0ED001;Itacoatiara;Norte;3.8.22.86S;58.26.25.55W
AMMANAUS0ED001;Manaus;Norte;3.5.59.68S;59.59.58.81W
PITERESINA0ED001;Teresina;Nordeste;5.5.24.32S;42.47.58.65W
PITERESINA0ED002;Teresina;Nordeste;5.5.32.53S;42.48.14.67W
PITERESINA0ED003;Teresina;Nordeste;5.5.25.67S;42.48.0.38W
PITERESINA0ED004;Teresina;Nordeste;5.5.32.17S;42.48.14.27W
PEJABOATAODO0ED001;Jaboatao dos Guararapes;Nordeste;8.6.34.93S;35.1.10.57W
PERECIFE0ED001;Recife;Nordeste;8.2.59.22S;34.53.59.41W
RNNATAL0ED001;Natal;Nordeste;5.46.48.33S;35.11.59.78W
RNNATAL0ED002;Natal;Nordeste;5.46.46.19S;35.12.2.28W
ALMACEIO0ED001;Maceio;Nordeste;9.38.57.88S;35.42.30.85W
ALMACEIO0ED002;Maceio;Nordeste;9.39.59.13S;35.44.5.68W
MTVARZEAGRAN0ED001;Varzea Grande;Centro-Oeste;15.38.58.76S;56.7.48.46W
MTCUIABA0ED001;Cuiaba;Centro-Oeste;15.36.6.39S;56.5.52.38W
MSDOURADOS0ED001;Dourados;Centro-Oeste;22.13.11.90S;54.48.34.73W
MSCAMPOGRAND0ED001;Campo Grande;Centro-Oeste;20.28.9.57S;54.37.12.26W
SPCAMPINAS0ED001;Campinas;Sudeste;22.54.36.55S;47.3.36.65W
SPCAMPINAS0ED002;Campinas;Sudeste;22.54.19.29S;47.3.38.92W
SPCAMPINAS0ED003;Campinas;Sudeste;22.54.34.69S;47.3.34.44W
SPCAMPINAS0ED004;Campinas;Sudeste;22.54.20.70S;47.3.39.51W
RJDUQUEDECAX0ED001;Duque de Caxias;Sudeste;22.47.25.26S;43.18.34.40W
RJRIODEJANEI0ED001;Rio de Janeiro;Sudeste;22.54.40.66S;43.12.35.03W
SPSAOPAULO0ED001;Sao Paulo;Sudeste;23.32.3.32S;46.37.31.63W
SPSAOPAULO0ED002;Sao Paulo;Sudeste;23.33.0.42S;46.37.47.07W
ESCARIACICA0ED001;Cariacica;Sudeste;20.15.34.71S;40.25.10.67W
ESVITORIA0ED001;Vitoria;Sudeste;20.19.13.67S;40.20.23.59W
SPGUARULHOS0ED001;Guarulhos;Sudeste;23.27.1.67S;46.31.47.31W
SPSAOPAULO0ED003;Sao Paulo;Sudeste;23.32.1.98S;46.37.31.44W
SPCAMPINAS0ED005;Campinas;Sudeste;22.54.34.28S;47.3.36.57W
SPCAMPINAS0ED006;Campinas;Sudeste;22.54.21.01S;47.3.40.58W
ESVITORIA0ED002;Vitoria;Sudeste;20.19.12.90S;40.20.23.56W
ESVITORIA0ED003;Vitoria;Sudeste;20.19.10.38S;40.20.15.12W
SCFLORIANOPO0ED001;Florianopolis;Sul;27.35.40.48S;48.32.52.78W
SCFLORIANOPO0ED002;Florianopolis;Sul;27.35.23.32S;48.33.0.75W
RSPORTOALEGR0ED001;Porto Alegre;Sul;30.1.47.35S;51.13.46.88W
RSPORTOALEGR0ED002;Porto Alegre;Sul;30.2.3.31S;51.13.4.36W
AMMANAUS0AC001;Manaus;Norte;3.6.1.67S;60.0.0.62W
PABELEM0AC001;Belem;Norte;1.27.34.33S;48.29.58.82W
TOGURUPI0AC001;Gurupi;Norte;11.43.49.72S;49.4.11.39W
TOPALMAS0AC001;Palmas;Norte;10.14.23.61S;48.21.37.40W
APLARANJALDO0AC001;Laranjal do Jari;Norte;0.50.58.64S;52.31.12.56W
RRCARACARAI0AC001;Caracarai;Norte;1.49.13.31N;61.7.49.33W
ACSENAMADURE0AC001;Sena Madureira;Norte;9.4.11.09S;68.40.12.13W
PABELEM0AC002;Belem;Norte;1.27.20.63S;48.29.24.86W
AMITACOATIAR0AC001;Itacoatiara;Norte;3.8.22.66S;58.26.23.07W
PABELEM0AC003;Belem;Norte;1.27.35.18S;48.29.58.93W
AMPARINTINS0AC001;Parintins;Norte;2.37.46.92S;56.43.47.71W
TOGURUPI0AC002;Gurupi;Norte;11.43.46.68S;49.4.11.80W
ACRIOBRANCO0AC001;Rio Branco;Norte;9.58.29.86S;67.48.37.09W
AMITACOATIAR0AC002;Itacoatiara;Norte;3.8.23.68S;58.26.24.32W
AMMANAUS0AC002;Manaus;Norte;3.5.58.74S;59.59.58.53W
RRBOAVISTA0AC001;Boa Vista;Norte;2.49.10.87N;60.40.10.23W
ROARIQUEMES0AC001;Ariquemes;Norte;9.54.35.86S;63.2.22.57W
AMMANAUS0AC003;Manaus;Norte;3.5.58.93S;59.59.59.47W
TOGURUPI0AC003;Gurupi;Norte;11.43.48.65S;49.4.11.84W
CECAUCAIA0AC001;Caucaia;Nordeste;3.43.46.87S;38.39.35.99W
MAIMPERATRIZ0AC001;Imperatriz;Nordeste;5.31.49.52S;47.28.47.94W
PERECIFE0AC001;Recife;Nordeste;8.3.28.29S;34.52.57.20W
CEJUAZEIRODO0AC001;Juazeiro do Norte;Nordeste;7.12.37.77S;39.19.10.57W
PERECIFE0AC002;Recife;Nordeste;8.3.29.95S;34.52.59.68W
RNPARNAMIRIM0AC001;Parnamirim;Nordeste;5.54.37.70S;35.16.12.01W
CEJUAZEIRODO0AC002;Juazeiro do Norte;Nordeste;7.12.36.25S;39.19.13.64W
CECAUCAIA0AC002;Caucaia;Nordeste;3.43.48.50S;38.39.35.77W
PBSANTARITA0AC001;Santa Rita;Nordeste;7.6.37.13S;34.58.47.96W
PERECIFE0AC003;Recife;Nordeste;8.3.27.70S;34.53.0.20W
BASALVADOR0AC001;Salvador;Nordeste;12.58.18.28S;38.30.5.67W
BAVITORIADAC0AC001;Vitoria da Conquista;Nordeste;14.52.13.75S;40.50.25.66W
CEFORTALEZA0AC001;Fortaleza;Nordeste;3.43.11.37S;38.32.25.34W
MAIMPERATRIZ0AC002;Imperatriz;Nordeste;5.31.48.50S;47.28.49.09W
PBSANTARITA0AC002;Santa Rita;Nordeste;7.6.36.31S;34.58.46.39W
BAVITORIADAC0AC002;Vitoria da Conquista;Nordeste;14.52.13.08S;40.50.23.00W
MASAOLUIS0AC001;Sao Luis;Nordeste;2.31.46.91S;44.18.0.53W
RNNATAL0AC001;Natal;Nordeste;5.46.44.96S;35.12.3.67W
MAIMPERATRIZ0AC003;Imperatriz;Nordeste;5.31.49.18S;47.28.46.65W
CEFORTALEZA0AC002;Fortaleza;Nordeste;3.43.53.54S;38.31.35.02W
CEJUAZEIRODO0AC003;Juazeiro do Norte;Nordeste;7.12.35.92S;39.19.11.22W
CEFORTALEZA0AC003;Fortaleza;Nordeste;3.43.13.59S;38.32.24.35W
PITERESINA0AC001;Teresina;Nordeste;5.5.30.76S;42.48.12.19W
ALRIOLARGO0AC001;Rio Largo;Nordeste;9.28.48.51S;35.51.0.51W
PBJOAOPESSOA0AC001;Joao Pessoa;Nordeste;7.7.12.71S;34.52.47.74W
PEJABOATAODO0AC001;Jaboatao dos Guararapes;Nordeste;8.6.35.42S;35.1.11.24W
PBSANTARITA0AC003;Santa Rita;Nordeste;7.6.36.15S;34.58.49.55W
CEJUAZEIRODO0AC004;Juazeiro do Norte;Nordeste;7.12.35.10S;39.19.11.71W
PBSANTARITA0AC004;Santa Rita;Nordeste;7.6.37.28S;34.58.47.15W
SENOSSASENHO0AC001;Nossa Senhora do Socorro;Nordeste;10.55.12.89S;37.7.12.33W
PITERESINA0AC002;Teresina;Nordeste;5.5.25.08S;42.47.58.32W
CEFORTALEZA0AC004;Fortaleza;Nordeste;3.43.11.41S;38.32.22.65W
PBSANTARITA0AC005;Santa Rita;Nordeste;7.6.35.87S;34.58.48.21W
MASAOLUIS0AC002;Sao Luis;Nordeste;2.31.49.42S;44.18.1.47W
BAFEIRADESAN0AC001;Feira de Santana;Nordeste;12.14.59.73S;38.57.1.65W
BAVITORIADAC0AC003;Vitoria da Conquista;Nordeste;14.52.12.95S;40.50.23.81W
PERECIFE0AC004;Recife;Nordeste;8.3.1.31S;34.53.59.03W
PEOLINDA0AC001;Olinda;Nordeste;8.0.35.02S;34.50.59.60W
ALARAPIRACA0AC001;Arapiraca;Nordeste;9.44.59.08S;36.39.35.99W
CEJUAZEIRODO0AC005;Juazeiro do Norte;Nordeste;7.12.36.65S;39.19.13.16W
MAIMPERATRIZ0AC004;Imperatriz;Nordeste;5.31.49.26S;47.28.47.73W
ALMACEIO0AC001;Maceio;Nordeste;9.39.58.46S;35.44.4.98W
CEFORTALEZA0AC005;Fortaleza;Nordeste;3.43.12.96S;38.32.24.41W
PIPARNAIBA0AC001;Parnaiba;Nordeste;2.54.0.60S;41.46.49.62W
BAFEIRADESAN0AC002;Feira de Santana;Nordeste;12.14.59.02S;38.57.1.38W
RNNATAL0AC002;Natal;Nordeste;5.46.49.57S;35.11.58.58W
RNNATAL0AC003;Natal;Nordeste;5.46.49.54S;35.11.58.84W
PBSANTARITA0AC006;Santa Rita;Nordeste;7.6.36.14S;34.58.48.62W
PBJOAOPESSOA0AC002;Joao Pessoa;Nordeste;7.7.10.76S;34.50.40.83W
SENOSSASENHO0AC002;Nossa Senhora do Socorro;Nordeste;10.55.12.85S;37.7.11.30W
CEJUAZEIRODO0AC006;Juazeiro do Norte;Nordeste;7.12.35.08S;39.19.12.93W
PBSANTARITA0AC007;Santa Rita;Nordeste;7.6.34.63S;34.58.46.83W
MASAOLUIS0AC003;Sao Luis;Nordeste;2.31.49.53S;44.17.59.63W
PITERESINA0AC003;Teresina;Nordeste;5.5.24.61S;42.48.1.60W
RNPARNAMIRIM0AC002;Parnamirim;Nordeste;5.54.36.03S;35.16.11.83W
PERECIFE0AC005;Recife;Nordeste;8.3.0.12S;34.54.0.58W
CEFORTALEZA0AC006;Fortaleza;Nordeste;3.43.12.47S;38.32.24.84W
SELAGARTO0AC001;Lagarto;Nordeste;10.55.10.85S;37.38.59.84W
RNNATAL0AC004;Natal;Nordeste;5.46.44.33S;35.12.1.69W
CECAUCAIA0AC003;Caucaia;Nordeste;3.43.47.83S;38.39.35.46W
ALRIOLARGO0AC002;Rio Largo;Nordeste;9.28.49.17S;35.51.0.88W
SEARACAJU0AC001;Aracaju;Nordeste;10.56.48.72S;37.4.23.41W
PBCAMPINAGRA0AC001;Campina Grande;Nordeste;7.13.49.52S;35.52.48.81W
PBSANTARITA0AC008;Santa Rita;Nordeste;7.6.34.95S;34.58.46.88W
PITERESINA0AC004;Teresina;Nordeste;5.5.31.93S;42.48.14.87W
PERECIFE0AC006;Recife;Nordeste;8.3.0.59S;34.54.0.17W
PBSANTARITA0AC009;Santa Rita;Nordeste;7.6.35.13S;34.58.48.52W
DFBRASILIA0AC001;Brasilia;Centro-Oeste;15.46.46.29S;47.55.49.58W
MSDOURADOS0AC001;Dourados;Centro-Oeste;22.13.11.47S;54.48.34.92W
GOANAPOLIS0AC001;Anapolis;Centro-Oeste;16.19.47.43S;48.57.1.38W
DFBRASILIA0AC002;Brasilia;Centro-Oeste;15.47.51.18S;47.53.31.53W
DFBRASILIA0AC003;Brasilia;Centro-Oeste;15.46.48.66S;47.55.46.66W
DFBRASILIA0AC004;Brasilia;Centro-Oeste;15.47.50.34S;47.53.29.19W
MSTRESLAGOAS0AC001;Tres Lagoas;Centro-Oeste;20.44.59.37S;51.40.47.74W
MSDOURADOS0AC002;Dourados;Centro-Oeste;22.13.11.56S;54.48.36.49W
MSDOURADOS0AC003;Dourados;Centro-Oeste;22.13.11.52S;54.48.34.33W
MTCUIABA0AC001;Cuiaba;Centro-Oeste;15.36.3.88S;56.5.50.87W
MSCAMPOGRAND0AC001;Campo Grande;Centro-Oeste;20.26.22.22S;54.39.0.40W
GOAPARECIDAD0AC001;Aparecida de Goiania;Centro-Oeste;16.49.12.18S;49.14.58.26W
GOAPARECIDAD0AC002;Aparecida de Goiania;Centro-Oeste;16.49.12.02S;49.14.59.39W
GOAPARECIDAD0AC003;Aparecida de Goiania;Centro-Oeste;16.49.11.14S;49.14.59.15W
MTCUIABA0AC002;Cuiaba;Centro-Oeste;15.36.0.45S;56.6.1.19W
GOAPARECIDAD0AC004;Aparecida de Goiania;Centro-Oeste;16.49.13.17S;49.14.58.57W
MTVARZEAGRAN0AC001;Varzea Grande;Centro-Oeste;15.38.58.85S;56.7.48.46W
MTCUIABA0AC003;Cuiaba;Centro-Oeste;15.36.6.45S;56.5.51.19W
ESCARIACICA0AC001;Cariacica;Sudeste;20.15.34.77S;40.25.12.55W
ESVITORIA0AC001;Vitoria;Sudeste;20.19.10.74S;40.20.15.84W
SPGUARULHOS0AC001;Guarulhos;Sudeste;23.27.0.17S;46.31.47.68W
SPSAOPAULO0AC001;Sao Paulo;Sudeste;23.32.2.23S;46.37.30.60W
SPGUARULHOS0AC002;Guarulhos;Sudeste;23.26.59.77S;46.31.49.26W
RJDUQUEDECAX0AC001;Duque de Caxias;Sudeste;22.47.24.44S;43.18.34.98W
MGUBERLANDIA0AC001;Uberlandia;Sudeste;18.55.13.65S;48.17.25.23W
ESVILAVELHA0AC001;Vila Velha;Sudeste;20.20.23.39S;40.17.23.31W
MGBELOHORIZO0AC001;Belo Horizonte;Sudeste;19.55.0.92S;43.56.4.45W
ESVITORIA0AC002;Vitoria;Sudeste;20.19.12.70S;40.20.25.29W
MGBELOHORIZO0AC002;Belo Horizonte;Sudeste;19.55.1.66S;43.56.4.64W
MGBELOHORIZO0AC003;Belo Horizonte;Sudeste;19.55.12.00S;43.56.25.79W
SPCAMPINAS0AC001;Campinas;Sudeste;22.54.19.67S;47.3.40.11W
SPCAMPINAS0AC002;Campinas;Sudeste;22.54.37.57S;47.3.37.23W
MGUBERLANDIA0AC002;Uberlandia;Sudeste;18.55.10.44S;48.17.22.85W
SPSAOPAULO0AC002;Sao Paulo;Sudeste;23.33.0.00S;46.37.47.82W
SPCAMPINAS0AC003;Campinas;Sudeste;22.54.36.73S;47.3.37.19W
RJDUQUEDECAX0AC002;Duque de Caxias;Sudeste;22.47.24.95S;43.18.34.28W
SPCAMPINAS0AC004;Campinas;Sudeste;22.54.18.91S;47.3.39.85W
RJSAOGONCALO0AC001;Sao Goncalo;Sudeste;22.49.47.01S;43.3.0.24W
SPSAOPAULO0AC003;Sao Paulo;Sudeste;23.33.0.18S;46.37.47.68W
SPGUARULHOS0AC003;Guarulhos;Sudeste;23.27.1.68S;46.31.47.23W
SPSAOPAULO0AC004;Sao Paulo;Sudeste;23.31.59.78S;46.37.30.42W
ESCARIACICA0AC002;Cariacica;Sudeste;20.15.36.29S;40.25.12.41W
ESVITORIA0AC003;Vitoria;Sudeste;20.19.8.74S;40.20.13.81W
ESCARIACICA0AC003;Cariacica;Sudeste;20.15.36.06S;40.25.11.25W
RJRIODEJANEI0AC001;Rio de Janeiro;Sudeste;22.54.40.40S;43.12.34.18W
MGBELOHORIZO0AC004;Belo Horizonte;Sudeste;19.55.11.92S;43.56.23.47W
MGBELOHORIZO0AC005;Belo Horizonte;Sudeste;19.55.13.50S;43.56.23.17W
SPGUARULHOS0AC004;Guarulhos;Sudeste;23.26.59.40S;46.31.46.87W
RJRIODEJANEI0AC002;Rio de Janeiro;Sudeste;22.54.37.94S;43.12.34.44W
MGUBERLANDIA0AC003;Uberlandia;Sudeste;18.55.11.64S;48.17.24.98W
SPGUARULHOS0AC005;Guarulhos;Sudeste;23.27.0.08S;46.31.49.65W
ESVITORIA0AC004;Vitoria;Sudeste;20.19.12.16S;40.20.22.74W
RJRIODEJANEI0AC003;Rio de Janeiro;Sudeste;22.54.34.36S;43.11.59.40W
MGUBERLANDIA0AC004;Uberlandia;Sudeste;18.55.13.18S;48.17.24.52W
SPSAOPAULO0AC005;Sao Paulo;Sudeste;23.33.0.69S;46.37.48.22W
SPGUARULHOS0AC006;Guarulhos;Sudeste;23.27.1.78S;46.31.49.65W
ESVITORIA0AC005;Vitoria;Sudeste;20.19.10.99S;40.20.23.27W
SPSAOPAULO0AC006;Sao Paulo;Sudeste;23.32.1.21S;46.37.32.17W
RJRIODEJANEI0AC004;Rio de Janeiro;Sudeste;22.54.35.79S;43.11.58.23W
ESCARIACICA0AC004;Cariacica;Sudeste;20.15.36.35S;40.25.11.35W
SPCAMPINAS0AC005;Campinas;Sudeste;22.54.21.34S;47.3.40.71W
MGBELOHORIZO0AC006;Belo Horizonte;Sudeste;19.55.10.43S;43.56.25.60W
ESCARIACICA0AC005;Cariacica;Sudeste;20.15.37.32S;40.25.13.33W
RJRIODEJANEI0AC005;Rio de Janeiro;Sudeste;22.54.35.11S;43.11.58.39W
RJSAOGONCALO0AC002;Sao Goncalo;Sudeste;22.49.46.51S;43.2.59.78W
MGUBERLANDIA0AC005;Uberlandia;Sudeste;18.55.12.89S;48.17.22.23W
MGUBERLANDIA0AC006;Uberlandia;Sudeste;18.55.13.67S;48.17.23.39W
MGBELOHORIZO0AC007;Belo Horizonte;Sudeste;19.55.12.05S;43.56.25.35W
MGBELOHORIZO0AC008;Belo Horizonte;Sudeste;19.55.11.76S;43.56.24.97W
MGBELOHORIZO0AC009;Belo Horizonte;Sudeste;19.55.11.80S;43.56.24.36W
SPCAMPINAS0AC006;Campinas;Sudeste;22.54.19.47S;47.3.37.79W
SPSAOPAULO0AC007;Sao Paulo;Sudeste;23.33.0.92S;46.37.48.62W
MGBELOHORIZO0AC010;Belo Horizonte;Sudeste;19.55.10.84S;43.56.23.51W
RJDUQUEDECAX0AC003;Duque de Caxias;Sudeste;22.47.25.38S;43.18.37.09W
RJSAOGONCALO0AC003;Sao Goncalo;Sudeste;22.49.49.07S;43.3.0.37W
MGBELOHORIZO0AC011;Belo Horizonte;Sudeste;19.54.59.95S;43.56.5.32W
RJRIODEJANEI0AC006;Rio de Janeiro;Sudeste;22.54.36.04S;43.11.58.77W
RJRIODEJANEI0AC007;Rio de Janeiro;Sudeste;22.54.41.25S;43.12.33.87W
MGBELOHORIZO0AC012;Belo Horizonte;Sudeste;19.55.0.84S;43.56.5.21W
MGCONTAGEM0AC001;Contagem;Sudeste;19.55.49.80S;44.3.0.22W
RJRIODEJANEI0AC008;Rio de Janeiro;Sudeste;22.54.37.59S;43.11.58.43W
ESVILAVELHA0AC002;Vila Velha;Sudeste;20.20.24.63S;40.17.24.81W
ESCARIACICA0AC006;Cariacica;Sudeste;20.15.35.17S;40.25.11.27W
MGBELOHORIZO0AC013;Belo Horizonte;Sudeste;19.55.12.15S;43.56.22.22W
SPGUARULHOS0AC007;Guarulhos;Sudeste;23.26.58.21S;46.31.46.27W
MGBELOHORIZO0AC014;Belo Horizonte;Sudeste;19.55.13.67S;43.56.24.25W
MGCONTAGEM0AC002;Contagem;Sudeste;19.55.46.39S;44.2.58.36W
SPCAMPINAS0AC007;Campinas;Sudeste;22.54.37.54S;47.3.34.55W
MGUBERLANDIA0AC007;Uberlandia;Sudeste;18.55.11.97S;48.17.25.60W
RJRIODEJANEI0AC009;Rio de Janeiro;Sudeste;22.54.40.92S;43.12.35.29W
SPCAMPINAS0AC008;Campinas;Sudeste;22.54.18.59S;47.3.38.24W
RJRIODEJANEI0AC010;Rio de Janeiro;Sudeste;22.54.40.97S;43.12.35.51W
SPSAOPAULO0AC008;Sao Paulo;Sudeste;23.32.0.71S;46.37.31.55W
SPSAOPAULO0AC009;Sao Paulo;Sudeste;23.32.2.22S;46.37.32.00W
RJSAOGONCALO0AC004;Sao Goncalo;Sudeste;22.49.46.92S;43.3.1.19W
SPCAMPINAS0AC009;Campinas;Sudeste;22.54.20.31S;47.3.37.42W
RJRIODEJANEI0AC011;Rio de Janeiro;Sudeste;22.54.39.25S;43.12.35.19W
MGCONTAGEM0AC003;Contagem;Sudeste;19.55.48.19S;44.2.58.56W
ESCARIACICA0AC007;Cariacica;Sudeste;20.15.35.47S;40.25.12.19W
RJRIODEJANEI0AC012;Rio de Janeiro;Sudeste;22.54.35.55S;43.12.0.76W
MGBELOHORIZO0AC015;Belo Horizonte;Sudeste;19.54.59.90S;43.56.3.68W
SPSAOPAULO0AC010;Sao Paulo;Sudeste;23.33.1.16S;46.37.46.43W
RJRIODEJANEI0AC013;Rio de Janeiro;Sudeste;22.54.36.00S;43.11.59.98W
MGBELOHORIZO0AC016;Belo Horizonte;Sudeste;19.54.59.39S;43.56.3.86W
SPSAOPAULO0AC011;Sao Paulo;Sudeste;23.32.1.47S;46.37.30.80W
MGCONTAGEM0AC004;Contagem;Sudeste;19.55.48.64S;44.2.59.58W
SPSAOPAULO0AC012;Sao Paulo;Sudeste;23.32.1.87S;46.37.29.30W
SPCAMPINAS0AC010;Campinas;Sudeste;22.54.20.68S;47.3.40.41W
SPCAMPINAS0AC011;Campinas;Sudeste;22.54.18.97S;47.3.37.42W
ESCARIACICA0AC008;Cariacica;Sudeste;20.15.35.70S;40.25.13.01W
ESVITORIA0AC006;Vitoria;Sudeste;20.19.8.50S;40.20.15.94W
ESCARIACICA0AC009;Cariacica;Sudeste;20.15.37.39S;40.25.13.31W
RJDUQUEDECAX0AC004;Duque de Caxias;Sudeste;22.47.24.50S;43.18.36.01W
MGUBERLANDIA0AC008;Uberlandia;Sudeste;18.55.10.43S;48.17.22.44W
SPSAOPAULO0AC013;Sao Paulo;Sudeste;23.32.2.58S;46.37.32.05W
MGCONTAGEM0AC005;Contagem;Sudeste;19.55.48.66S;44.2.59.98W
SPGUARULHOS0AC008;Guarulhos;Sudeste;23.26.59.16S;46.31.46.96W
SPGUARULHOS0AC009;Guarulhos;Sudeste;23.26.59.30S;46.31.48.78W
SCJOINVILLE0AC001;Joinville;Sul;26.18.1.08S;48.51.0.40W
RSPORTOALEGR0AC001;Porto Alegre;Sul;30.2.4.72S;51.13.3.42W
PRMARINGA0AC001;Maringa;Sul;23.25.13.45S;51.56.24.52W
SCBLUMENAU0AC001;Blumenau;Sul;26.55.11.66S;49.4.13.18W
PRLONDRINA0AC001;Londrina;Sul;23.18.36.06S;51.9.36.51W
PRCURITIBA0AC001;Curitiba;Sul;25.25.12.87S;49.16.12.39W
PRCURITIBA0AC002;Curitiba;Sul;25.25.44.06S;49.16.1.86W
RSPORTOALEGR0AC002;Porto Alegre;Sul;30.2.4.65S;51.13.4.60W
RSCAXIASDOSU0AC001;Caxias do Sul;Sul;29.10.11.52S;51.10.46.85W
PRLONDRINA0AC002;Londrina;Sul;23.18.37.62S;51.9.36.16W
