siteid;Location;GeographicRegion;Latitude;Longitude
DFBRASILIA0ED004;Brasilia;Centro-Oeste;15.46.46.52S;47.55.48.74W
MGCONTAGEM0ED001;Contagem;Sudeste;19.55.47.91S;44.2.59.95W
MGBELOHORIZO0ED001;Belo Horizonte;Sudeste;19.55.12.59S;43.56.24.07W
MGBELOHORIZO0ED002;Belo Horizonte;Sudeste;19.55.11.62S;43.56.22.25W
MGBELOHORIZO0ED003;Belo Horizonte;Sudeste;19.54.58.91S;43.56.3.33W
MGBELOHORIZO0ED004;Belo Horizonte;Sudeste;19.55.10.59S;43.56.24.14W
MGBELOHORIZO0ED005;Belo Horizonte;Sudeste;19.54.59.51S;43.56.4.50W
MGCONTAGEM0ED002;Contagem;Sudeste;19.55.49.28S;44.3.1.03W
MGBELOHORIZO0ED006;Belo Horizonte;Sudeste;19.55.11.03S;43.56.24.16W
SPCAMPINAS0ED001;Campinas;Sudeste;22.54.20.64S;47.3.38.42W
SPCAMPINAS0ED002;Campinas;Sudeste;22.54.35.41S;47.3.35.11W
SPCAMPINAS0ED003;Campinas;Sudeste;22.54.35.03S;47.3.35.55W
SPCAMPINAS0ED004;Campinas;Sudeste;22.54.20.78S;47.3.39.29W
ESCARIACICA0ED001;Cariacica;Sudeste;20.15.35.35S;40.25.10.55W
ESVITORIA0ED001;Vitoria;Sudeste;20.19.12.36S;40.20.23.74W
SPGUARULHOS0ED001;Guarulhos;Sudeste;23.27.0.90S;46.31.48.19W
SPSAOPAULO0ED001;Sao Paulo;Sudeste;23.32.2.91S;46.37.30.60W
RSPORTOALEGR0ED001;Porto Alegre;Sul;30.1.48.58S;51.13.48.80W
RSPORTOALEGR0ED002;Porto Alegre;Sul;30.2.4.33S;51.13.3.60W
SCBLUMENAU0ED001;Blumenau;Sul;26.55.10.43S;49.4.12.78W
SCJOINVILLE0ED001;Joinville;Sul;26.18.0.79S;48.51.1.46W
ROJIPARANA0AC001;Ji-Parana;Norte;10.52.48.74S;61.57.1.29W
APSANTANA0AC001;Santana;Norte;0.2.4.22S;51.10.47.93W
RRCARACARAI0AC001;Caracarai;Norte;1.49.13.08N;61.7.47.52W
TOARAGUAINA0AC001;Araguaina;Norte;7.11.25.30S;48.12.36.07W
ACCRUZEIRODO0AC001;Cruzeiro do Sul;Norte;7.37.46.96S;72.40.12.21W
ACSENAMADURE0AC001;Sena Madureira;Norte;9.4.11.71S;68.40.13.08W
APMACAPA0AC001;Macapa;Norte;0.1.59.57N;51.3.55.30W
PASANTAREM0AC001;Santarem;Norte;2.25.47.87S;54.43.13.21W
TOARAGUAINA0AC002;Araguaina;Norte;7.11.25.15S;48.12.35.02W
APSANTANA0AC002;Santana;Norte;0.2.6.40S;51.10.48.28W
RRCARACARAI0AC002;Caracarai;Norte;1.49.13.77N;61.7.46.41W
ROARIQUEMES0AC001;Ariquemes;Norte;9.54.37.42S;63.2.23.25W
PABELEM0AC001;Belem;Norte;1.27.19.06S;48.29.25.25W
AMITACOATIAR0AC001;Itacoatiara;Norte;3.8.22.89S;58.26.25.55W
RRRORAINOPOL0AC001;Rorainopolis;Norte;0.57.1.56N;60.25.49.03W
AMITACOATIAR0AC002;Itacoatiara;Norte;3.8.23.42S;58.26.22.50W
ROPORTOVELHO0AC001;Porto Velho;Norte;8.45.37.01S;63.54.0.52W
ROPORTOVELHO0AC002;Porto Velho;Norte;8.45.37.41S;63.54.0.66W
PASANTAREM0AC002;Santarem;Norte;2.25.47.12S;54.43.13.40W
PITERESINA0AC001;Teresina;Nordeste;5.5.22.69S;42.48.0.65W
BASALVADOR0AC001;Salvador;Nordeste;12.58.13.06S;38.29.58.42W
SEARACAJU0AC001;Aracaju;Nordeste;10.56.51.43S;37.4.22.79W
RNNATAL0AC001;Natal;Nordeste;5.46.49.16S;35.12.0.56W
SEARACAJU0AC002;Aracaju;Nordeste;10.54.37.62S;37.4.12.07W
BASALVADOR0AC002;Salvador;Nordeste;12.58.19.72S;38.30.5.90W
BAFEIRADESAN0AC001;Feira de Santana;Nordeste;12.15.1.47S;38.57.0.04W
PBCAMPINAGRA0AC001;Campina Grande;Nordeste;7.13.46.61S;35.52.47.18W
PBJOAOPESSOA0AC001;Joao Pessoa;Nordeste;7.7.10.28S;34.50.41.05W
RNNATAL0AC002;Natal;Nordeste;5.46.45.88S;35.12.3.84W
ALARAPIRACA0AC001;Arapiraca;Nordeste;9.44.59.95S;36.39.35.76W
SELAGARTO0AC001;Lagarto;Nordeste;10.55.13.78S;37.38.58.30W
ALMACEIO0AC001;Maceio;Nordeste;9.39.55.94S;35.44.6.01W
PITERESINA0AC002;Teresina;Nordeste;5.5.32.94S;42.48.13.16W
PERECIFE0AC001;Recife;Nordeste;8.3.0.70S;34.54.0.25W
PBCAMPINAGRA0AC002;Campina Grande;Nordeste;7.13.49.52S;35.52.47.12W
ALARAPIRACA0AC002;Arapiraca;Nordeste;9.44.59.09S;36.39.37.69W
PERECIFE0AC002;Recife;Nordeste;8.3.28.90S;34.52.58.18W
PBSANTARITA0AC001;Santa Rita;Nordeste;7.6.35.90S;34.58.48.67W
PERECIFE0AC003;Recife;Nordeste;8.3.0.71S;34.54.0.08W
BASALVADOR0AC003;Salvador;Nordeste;12.58.20.45S;38.30.6.37W
MATIMON0AC001;Timon;Nordeste;5.5.22.81S;42.49.49.66W
SEARACAJU0AC003;Aracaju;Nordeste;10.54.35.50S;37.4.11.84W
PERECIFE0AC004;Recife;Nordeste;8.2.58.24S;34.54.0.29W
SEARACAJU0AC004;Aracaju;Nordeste;10.56.49.02S;37.4.24.29W
CEJUAZEIRODO0AC001;Juazeiro do Norte;Nordeste;7.12.37.77S;39.19.10.92W
PBSANTARITA0AC002;Santa Rita;Nordeste;7.6.36.13S;34.58.49.53W
RNNATAL0AC003;Natal;Nordeste;5.46.46.07S;35.12.5.08W
CEFORTALEZA0AC001;Fortaleza;Nordeste;3.43.55.45S;38.31.36.06W
RNNATAL0AC004;Natal;Nordeste;5.46.47.18S;35.12.0.35W
SEARACAJU0AC005;Aracaju;Nordeste;10.54.35.04S;37.4.11.62W
ALMACEIO0AC002;Maceio;Nordeste;9.39.56.29S;35.44.6.85W
ALMACEIO0AC003;Maceio;Nordeste;9.39.58.49S;35.44.7.14W
CEJUAZEIRODO0AC002;Juazeiro do Norte;Nordeste;7.12.36.68S;39.19.11.15W
PERECIFE0AC005;Recife;Nordeste;8.3.0.60S;34.53.59.15W
PBSANTARITA0AC003;Santa Rita;Nordeste;7.6.35.56S;34.58.48.74W
RNNATAL0AC005;Natal;Nordeste;5.46.45.19S;35.12.3.56W
PEOLINDA0AC001;Olinda;Nordeste;8.0.34.83S;34.51.0.61W
SENOSSASENHO0AC001;Nossa Senhora do Socorro;Nordeste;10.55.13.36S;37.7.13.54W
SEARACAJU0AC006;Aracaju;Nordeste;10.54.36.02S;37.4.11.30W
PIPARNAIBA0AC001;Parnaiba;Nordeste;2.54.0.75S;41.46.47.76W
RNNATAL0AC006;Natal;Nordeste;5.46.45.54S;35.12.3.22W
CECAUCAIA0AC001;Caucaia;Nordeste;3.43.46.98S;38.39.37.49W
SELAGARTO0AC002;Lagarto;Nordeste;10.55.13.41S;37.38.58.33W
PITERESINA0AC003;Teresina;Nordeste;5.5.30.74S;42.48.13.73W
MASAOLUIS0AC001;Sao Luis;Nordeste;2.31.46.66S;44.17.59.53W
ALARAPIRACA0AC003;Arapiraca;Nordeste;9.44.59.09S;36.39.37.68W
SELAGARTO0AC003;Lagarto;Nordeste;10.55.10.98S;37.39.0.86W
PIPARNAIBA0AC002;Parnaiba;Nordeste;2.54.0.62S;41.46.49.23W
SEARACAJU0AC007;Aracaju;Nordeste;10.56.50.32S;37.4.23.99W
PEJABOATAODO0AC001;Jaboatao dos Guararapes;Nordeste;8.6.36.00S;35.1.10.95W
MAIMPERATRIZ0AC001;Imperatriz;Nordeste;5.31.49.37S;47.28.49.74W
CEJUAZEIRODO0AC003;Juazeiro do Norte;Nordeste;7.12.37.79S;39.19.12.43W
SEARACAJU0AC008;Aracaju;Nordeste;10.56.51.78S;37.4.22.00W
SEARACAJU0AC009;Aracaju;Nordeste;10.54.34.35S;37.4.13.32W
PBJOAOPESSOA0AC002;Joao Pessoa;Nordeste;7.7.8.83S;34.50.40.71W
PBCAMPINAGRA0AC003;Campina Grande;Nordeste;7.13.48.88S;35.52.49.42W
PIPICOS0AC001;Picos;Nordeste;7.4.48.68S;41.28.11.40W
CEJUAZEIRODO0AC004;Juazeiro do Norte;Nordeste;7.12.36.15S;39.19.11.10W
ALARAPIRACA0AC004;Arapiraca;Nordeste;9.45.1.28S;36.39.36.94W
SEARACAJU0AC010;Aracaju;Nordeste;10.54.37.41S;37.4.13.71W
BAVITORIADAC0AC001;Vitoria da Conquista;Nordeste;14.52.13.37S;40.50.23.32W
PBSANTARITA0AC004;Santa Rita;Nordeste;7.6.36.22S;34.58.48.03W
BASALVADOR0AC004;Salvador;Nordeste;12.58.21.20S;38.30.4.63W
PBSANTARITA0AC005;Santa Rita;Nordeste;7.6.36.56S;34.58.46.44W
RNNATAL0AC007;Natal;Nordeste;5.46.48.71S;35.12.1.42W
ALARAPIRACA0AC005;Arapiraca;Nordeste;9.45.1.22S;36.39.36.92W
MTCUIABA0AC001;Cuiaba;Centro-Oeste;15.35.59.27S;56.5.59.93W
MSCAMPOGRAND0AC001;Campo Grande;Centro-Oeste;20.28.9.34S;54.37.13.06W
GOGOIANIA0AC001;Goiania;Centro-Oeste;16.40.49.47S;49.15.11.27W
GOAPARECIDAD0AC001;Aparecida de Goiania;Centro-Oeste;16.49.11.52S;49.14.59.75W
MTVARZEAGRAN0AC001;Varzea Grande;Centro-Oeste;15.38.58.43S;56.7.48.41W
GOANAPOLIS0AC001;Anapolis;Centro-Oeste;16.19.48.50S;48.56.59.62W
MSDOURADOS0AC001;Dourados;Centro-Oeste;22.13.12.64S;54.48.37.05W
GOGOIANIA0AC002;Goiania;Centro-Oeste;16.40.52.43S;49.15.13.21W
MTCUIABA0AC002;Cuiaba;Centro-Oeste;15.36.0.30S;56.6.1.31W
DFBRASILIA0AC001;Brasilia;Centro-Oeste;15.47.51.67S;47.53.30.55W
DFBRASILIA0AC002;Brasilia;Centro-Oeste;15.47.49.45S;47.53.29.09W
MTRONDONOPOL0AC001;Rondonopolis;Centro-Oeste;16.28.11.97S;54.38.22.34W
MSCAMPOGRAND0AC002;Campo Grande;Centro-Oeste;20.26.23.22S;54.39.1.23W
MTRONDONOPOL0AC002;Rondonopolis;Centro-Oeste;16.28.11.13S;54.38.25.53W
MSTRESLAGOAS0AC001;Tres Lagoas;Centro-Oeste;20.45.0.26S;51.40.49.38W
MSTRESLAGOAS0AC002;Tres Lagoas;Centro-Oeste;20.44.59.68S;51.40.47.02W
MSCAMPOGRAND0AC003;Campo Grande;Centro-Oeste;20.26.24.99S;54.38.58.61W
MTCUIABA0AC003;Cuiaba;Centro-Oeste;15.35.59.64S;56.5.58.24W
RJDUQUEDECAX0AC001;Duque de Caxias;Sudeste;22.47.25.47S;43.18.37.21W
MGBELOHORIZO0AC001;Belo Horizonte;Sudeste;19.55.11.73S;43.56.25.44W
ESCARIACICA0AC001;Cariacica;Sudeste;20.15.34.92S;40.25.13.35W
SPGUARULHOS0AC001;Guarulhos;Sudeste;23.27.1.00S;46.31.48.08W
SPGUARULHOS0AC002;Guarulhos;Sudeste;23.27.0.17S;46.31.49.00W
RJRIODEJANEI0AC001;Rio de Janeiro;Sudeste;22.54.39.92S;43.12.34.76W
MGBELOHORIZO0AC002;Belo Horizonte;Sudeste;19.55.10.67S;43.56.23.29W
RJDUQUEDECAX0AC002;Duque de Caxias;Sudeste;22.47.24.69S;43.18.35.64W
RJRIODEJANEI0AC002;Rio de Janeiro;Sudeste;22.54.37.74S;43.11.59.50W
SPSAOPAULO0AC001;Sao Paulo;Sudeste;23.33.1.39S;46.37.49.28W
ESVITORIA0AC001;Vitoria;Sudeste;20.19.9.23S;40.20.14.03W
RJSAOGONCALO0AC001;Sao Goncalo;Sudeste;22.49.48.52S;43.2.59.50W
ESVITORIA0AC002;Vitoria;Sudeste;20.19.12.66S;40.20.24.81W
RJDUQUEDECAX0AC003;Duque de Caxias;Sudeste;22.47.24.14S;43.18.34.31W
MGCONTAGEM0AC001;Contagem;Sudeste;19.55.48.75S;44.2.59.84W
RJDUQUEDECAX0AC004;Duque de Caxias;Sudeste;22.47.22.61S;43.18.36.16W
MGBELOHORIZO0AC003;Belo Horizonte;Sudeste;19.55.0.23S;43.56.3.54W
RJRIODEJANEI0AC003;Rio de Janeiro;Sudeste;22.54.37.48S;43.12.1.46W
ESVILAVELHA0AC001;Vila Velha;Sudeste;20.20.25.48S;40.17.25.31W
MGBELOHORIZO0AC004;Belo Horizonte;Sudeste;19.54.59.36S;43.56.4.91W
SPSAOPAULO0AC002;Sao Paulo;Sudeste;23.32.59.29S;46.37.46.40W
MGBELOHORIZO0AC005;Belo Horizonte;Sudeste;19.54.59.72S;43.56.2.91W
RJRIODEJANEI0AC004;Rio de Janeiro;Sudeste;22.54.36.99S;43.12.1.71W
MGBELOHORIZO0AC006;Belo Horizonte;Sudeste;19.54.59.88S;43.56.3.74W
RJRIODEJANEI0AC005;Rio de Janeiro;Sudeste;22.54.39.41S;43.12.32.99W
MGBELOHORIZO0AC007;Belo Horizonte;Sudeste;19.55.11.57S;43.56.22.46W
MGCONTAGEM0AC002;Contagem;Sudeste;19.55.48.09S;44.3.0.91W
MGUBERLANDIA0AC001;Uberlandia;Sudeste;18.55.13.73S;48.17.23.86W
MGUBERLANDIA0AC002;Uberlandia;Sudeste;18.55.13.38S;48.17.22.62W
RJDUQUEDECAX0AC005;Duque de Caxias;Sudeste;22.47.24.87S;43.18.37.01W
SPCAMPINAS0AC001;Campinas;Sudeste;22.54.19.82S;47.3.39.35W
SPSAOPAULO0AC003;Sao Paulo;Sudeste;23.32.59.29S;46.37.48.11W
SPSAOPAULO0AC004;Sao Paulo;Sudeste;23.32.1.31S;46.37.29.57W
SPSAOPAULO0AC005;Sao Paulo;Sudeste;23.33.0.60S;46.37.47.23W
RJRIODEJANEI0AC006;Rio de Janeiro;Sudeste;22.54.35.84S;43.11.59.78W
SPCAMPINAS0AC002;Campinas;Sudeste;22.54.18.23S;47.3.40.69W
MGBELOHORIZO0AC008;Belo Horizonte;Sudeste;19.55.12.57S;43.56.24.20W
SPSAOPAULO0AC006;Sao Paulo;Sudeste;23.33.0.89S;46.37.49.14W
MGUBERLANDIA0AC003;Uberlandia;Sudeste;18.55.12.67S;48.17.22.40W
MGBELOHORIZO0AC009;Belo Horizonte;Sudeste;19.55.12.67S;43.56.23.44W
RJRIODEJANEI0AC007;Rio de Janeiro;Sudeste;22.54.35.28S;43.12.1.65W
RJSAOGONCALO0AC002;Sao Goncalo;Sudeste;22.49.49.01S;43.3.0.73W
ESCARIACICA0AC002;Cariacica;Sudeste;20.15.36.23S;40.25.12.76W
RJRIODEJANEI0AC008;Rio de Janeiro;Sudeste;22.54.34.38S;43.12.0.66W
MGCONTAGEM0AC003;Contagem;Sudeste;19.55.47.30S;44.2.59.03W
MGBELOHORIZO0AC010;Belo Horizonte;Sudeste;19.55.11.08S;43.56.24.63W
MGCONTAGEM0AC004;Contagem;Sudeste;19.55.47.98S;44.2.58.25W
MGUBERLANDIA0AC004;Uberlandia;Sudeste;18.55.13.23S;48.17.23.36W
SPSAOPAULO0AC007;Sao Paulo;Sudeste;23.33.0.19S;46.37.49.35W
RJRIODEJANEI0AC009;Rio de Janeiro;Sudeste;22.54.38.41S;43.12.33.75W
ESVILAVELHA0AC002;Vila Velha;Sudeste;20.20.25.45S;40.17.25.63W
RJRIODEJANEI0AC010;Rio de Janeiro;Sudeste;22.54.35.46S;43.12.0.19W
SPSAOPAULO0AC008;Sao Paulo;Sudeste;23.33.1.59S;46.37.47.46W
ESCARIACICA0AC003;Cariacica;Sudeste;20.15.36.25S;40.25.12.01W
SPCAMPINAS0AC003;Campinas;Sudeste;22.54.36.49S;47.3.36.38W
RJRIODEJANEI0AC011;Rio de Janeiro;Sudeste;22.54.34.84S;43.11.58.90W
ESVILAVELHA0AC003;Vila Velha;Sudeste;20.20.25.67S;40.17.25.01W
RJSAOGONCALO0AC003;Sao Goncalo;Sudeste;22.49.47.63S;43.3.0.67W
ESVITORIA0AC003;Vitoria;Sudeste;20.19.8.35S;40.20.12.64W
RJRIODEJANEI0AC012;Rio de Janeiro;Sudeste;22.54.37.46S;43.11.59.87W
ESVILAVELHA0AC004;Vila Velha;Sudeste;20.20.24.98S;40.17.22.50W
ESVITORIA0AC004;Vitoria;Sudeste;20.19.13.15S;40.20.24.81W
ESVILAVELHA0AC005;Vila Velha;Sudeste;20.20.25.62S;40.17.24.79W
ESCARIACICA0AC004;Cariacica;Sudeste;20.15.37.63S;40.25.12.87W
RJRIODEJANEI0AC013;Rio de Janeiro;Sudeste;22.54.40.45S;43.12.32.84W
MGUBERLANDIA0AC005;Uberlandia;Sudeste;18.55.11.50S;48.17.23.74W
MGUBERLANDIA0AC006;Uberlandia;Sudeste;18.55.12.16S;48.17.22.91W
MGCONTAGEM0AC005;Contagem;Sudeste;19.55.48.40S;44.3.0.50W
MGBELOHORIZO0AC011;Belo Horizonte;Sudeste;19.55.0.53S;43.56.4.30W
RJRIODEJANEI0AC014;Rio de Janeiro;Sudeste;22.54.41.13S;43.12.34.01W
SPSAOPAULO0AC009;Sao Paulo;Sudeste;23.33.0.78S;46.37.47.00W
SPSAOPAULO0AC010;Sao Paulo;Sudeste;23.32.58.22S;46.37.46.21W
ESCARIACICA0AC005;Cariacica;Sudeste;20.15.35.27S;40.25.12.70W
RJRIODEJANEI0AC015;Rio de Janeiro;Sudeste;22.54.37.68S;43.12.0.65W
SPGUARULHOS0AC003;Guarulhos;Sudeste;23.26.58.52S;46.31.46.22W
ESVITORIA0AC005;Vitoria;Sudeste;20.19.10.24S;40.20.25.55W
SPGUARULHOS0AC004;Guarulhos;Sudeste;23.26.59.95S;46.31.46.75W
MGBELOHORIZO0AC012;Belo Horizonte;Sudeste;19.54.59.69S;43.56.3.15W
MGBELOHORIZO0AC013;Belo Horizonte;Sudeste;19.55.0.13S;43.56.5.95W
SPSAOPAULO0AC011;Sao Paulo;Sudeste;23.32.2.74S;46.37.31.65W
ESVILAVELHA0AC006;Vila Velha;Sudeste;20.20.22.43S;40.17.22.70W
RJDUQUEDECAX0AC006;Duque de Caxias;Sudeste;22.47.22.25S;43.18.34.25W
ESVILAVELHA0AC007;Vila Velha;Sudeste;20.20.25.66S;40.17.23.45W
SPSAOPAULO0AC012;Sao Paulo;Sudeste;23.32.0.69S;46.37.31.11W
MGBELOHORIZO0AC014;Belo Horizonte;Sudeste;19.54.59.40S;43.56.5.36W
MGUBERLANDIA0AC007;Uberlandia;Sudeste;18.55.10.90S;48.17.24.75W
SPGUARULHOS0AC005;Guarulhos;Sudeste;23.27.1.04S;46.31.49.47W
MGCONTAGEM0AC006;Contagem;Sudeste;19.55.49.44S;44.2.58.97W
RJRIODEJANEI0AC016;Rio de Janeiro;Sudeste;22.54.40.20S;43.12.32.89W
ESVITORIA0AC006;Vitoria;Sudeste;20.19.11.12S;40.20.15.56W
MGUBERLANDIA0AC008;Uberlandia;Sudeste;18.55.10.63S;48.17.24.01W
ESVILAVELHA0AC008;Vila Velha;Sudeste;20.20.22.82S;40.17.25.75W
SPCAMPINAS0AC004;Campinas;Sudeste;22.54.34.25S;47.3.37.22W
ESVILAVELHA0AC009;Vila Velha;Sudeste;20.20.23.83S;40.17.25.62W
SPSAOPAULO0AC013;Sao Paulo;Sudeste;23.32.2.38S;46.37.30.42W
SPSAOPAULO0AC014;Sao Paulo;Sudeste;23.33.1.18S;46.37.46.31W
RJSAOGONCALO0AC004;Sao Goncalo;Sudeste;22.49.46.40S;43.2.59.20W
RJRIODEJANEI0AC017;Rio de Janeiro;Sudeste;22.54.37.74S;43.11.59.12W
RJRIODEJANEI0AC018;Rio de Janeiro;Sudeste;22.54.35.76S;43.11.59.03W
MGBELOHORIZO0AC015;Belo Horizonte;Sudeste;19.54.59.24S;43.56.5.12W
SCFLORIANOPO0AC001;Florianopolis;Sul;27.35.25.01S;48.32.59.16W
PRMARINGA0AC001;Maringa;Sul;23.25.13.37S;51.56.24.97W
SCBLUMENAU0AC001;Blumenau;Sul;26.55.12.34S;49.4.12.24W
PRMARINGA0AC002;Maringa;Sul;23.25.13.61S;51.56.25.52W
SCJOINVILLE0AC001;Joinville;Sul;26.18.0.49S;48.51.0.54W
RSCANOAS0AC001;Canoas;Sul;29.55.11.34S;51.10.49.06W
SCFLORIANOPO0AC002;Florianopolis;Sul;27.35.41.19S;48.32.53.45W
RSPORTOALEGR0AC001;Porto Alegre;Sul;30.2.4.27S;51.13.2.77W
SCBLUMENAU0AC002;Blumenau;Sul;26.55.12.92S;49.4.11.47W
PRCURITIBA0AC001;Curitiba;Sul;25.25.13.36S;49.16.13.45W
