element;layer;level;color;siteid;alias
RTED-SP06-01;EDGE;5;;SPCAMPINAS0ED003;
RTED-SP06-02;EDGE;5;;SPCAMPINAS0ED004;
RTED-ES07-01;EDGE;5;;ESCARIACICA0ED001;
RTED-ES07-02;EDGE;5;;ESVITORIA0ED001;
RTED-SP08-01;EDGE;5;;SPGUARULHOS0ED001;
RTED-SP08-02;EDGE;5;;SPSAOPAULO0ED001;
RTED-RS01-01;EDGE;5;;RSPORTOALEGR0ED001;
RTED-RS01-02;EDGE;5;;RSPORTOALEGR0ED002;
RTED-SC02-01;EDGE;5;;SCBLUMENAU0ED001;
RTED-SC02-02;EDGE;5;;SCJOINVILLE0ED001;
SWAC-RO01-01;METRO;8;;ROJIPARANA0AC001;
SWAC-AP02-01;METRO;8;;APSANTANA0AC001;
SWAC-RR03-01;METRO;8;;RRCARACARAI0AC001;
SWAC-TO04-01;METRO;8;;TOARAGUAINA0AC001;
SWAC-AC05-01;METRO;8;;ACCRUZEIRODO0AC001;
SWAC-AC06-01;METRO;8;;ACSENAMADURE0AC001;
SWAC-AP07-01;METRO;8;;APMACAPA0AC001;
SWAC-PA08-01;METRO;8;;PASANTAREM0AC001;
SWAC-TO09-01;METRO;8;;TOARAGUAINA0AC002;
SWAC-AP10-01;METRO;8;;APSANTANA0AC002;
SWAC-RR11-01;METRO;8;;RRCARACARAI0AC002;
SWAC-RO12-01;METRO;8;;ROARIQUEMES0AC001;
SWAC-PA13-01;METRO;8;;PABELEM0AC001;
SWAC-AM14-01;METRO;8;;AMITACOATIAR0AC001;
SWAC-RR15-01;METRO;8;;RRRORAINOPOL0AC001;
SWAC-AM16-01;METRO;8;;AMITACOATIAR0AC002;
SWAC-RO17-01;METRO;8;;ROPORTOVELHO0AC001;
SWAC-RO18-01;METRO;8;;ROPORTOVELHO0AC002;
SWAC-PA19-01;METRO;8;;PASANTAREM0AC002;
SWAC-PI01-01;METRO;8;;PITERESINA0AC001;
SWAC-BA02-01;METRO;8;;BASALVADOR0AC001;
SWAC-SE03-01;METRO;8;;SEARACAJU0AC001;
SWAC-RN04-01;METRO;8;;RNNATAL0AC001;
SWAC-SE05-01;METRO;8;;SEARACAJU0AC002;
SWAC-BA06-01;METRO;8;;BASALVADOR0AC002;
SWAC-BA07-01;METRO;8;;BAFEIRADESAN0AC001;
SWAC-PB08-01;METRO;8;;PBCAMPINAGRA0AC001;
SWAC-PB09-01;METRO;8;;PBJOAOPESSOA0AC001;
SWAC-RN10-01;METRO;8;;RNNATAL0AC002;
SWAC-AL11-01;METRO;8;;ALARAPIRACA0AC001;
SWAC-SE12-01;METRO;8;;SELAGARTO0AC001;
SWAC-AL13-01;METRO;8;;ALMACEIO0AC001;
SWAC-PI14-01;METRO;8;;PITERESINA0AC002;
SWAC-PE15-01;METRO;8;;PERECIFE0AC001;
SWAC-PB16-01;METRO;8;;PBCAMPINAGRA0AC002;
SWAC-AL17-01;METRO;8;;ALARAPIRACA0AC002;
SWAC-PE18-01;METRO;8;;PERECIFE0AC002;
SWAC-PB19-01;METRO;8;;PBSANTARITA0AC001;
SWAC-PE20-01;METRO;8;;PERECIFE0AC003;
SWAC-BA21-01;METRO;8;;BASALVADOR0AC003;
SWAC-MA22-01;METRO;8;;MATIMON0AC001;
SWAC-SE23-01;METRO;8;;SEARACAJU0AC003;
SWAC-PE24-01;METRO;8;;PERECIFE0AC004;
SWAC-SE25-01;METRO;8;;SEARACAJU0AC004;
SWAC-CE26-01;METRO;8;;CEJUAZEIRODO0AC001;
SWAC-PB27-01;METRO;8;;PBSANTARITA0AC002;
SWAC-RN28-01;METRO;8;;RNNATAL0AC003;
SWAC-CE29-01;METRO;8;;CEFORTALEZA0AC001;
SWAC-RN30-01;METRO;8;;RNNATAL0AC004;
SWAC-SE31-01;METRO;8;;SEARACAJU0AC005;
SWAC-AL32-01;METRO;8;;ALMACEIO0AC002;
SWAC-AL33-01;METRO;8;;ALMACEIO0AC003;
SWAC-CE34-01;METRO;8;;CEJUAZEIRODO0AC002;
SWAC-PE35-01;METRO;8;;PERECIFE0AC005;
SWAC-PB36-01;METRO;8;;PBSANTARITA0AC003;
SWAC-RN37-01;METRO;8;;RNNATAL0AC005;
SWAC-PE38-01;METRO;8;;PEOLINDA0AC001;
SWAC-SE39-01;METRO;8;;SENOSSASENHO0AC001;
SWAC-SE40-01;METRO;8;;SEARACAJU0AC006;
SWAC-PI41-01;METRO;8;;PIPARNAIBA0AC001;
SWAC-RN42-01;METRO;8;;RNNATAL0AC006;
SWAC-CE43-01;METRO;8;;CECAUCAIA0AC001;
SWAC-SE44-01;METRO;8;;SELAGARTO0AC002;
SWAC-PI45-01;METRO;8;;PITERESINA0AC003;
SWAC-MA46-01;METRO;8;;MASAOLUIS0AC001;
SWAC-AL47-01;METRO;8;;ALARAPIRACA0AC003;
SWAC-SE48-01;METRO;8;;SELAGARTO0AC003;
SWAC-PI49-01;METRO;8;;PIPARNAIBA0AC002;
SWAC-SE50-01;METRO;8;;SEARACAJU0AC007;
SWAC-PE51-01;METRO;8;;PEJABOATAODO0AC001;
SWAC-MA52-01;METRO;8;;MAIMPERATRIZ0AC001;
SWAC-CE53-01;METRO;8;;CEJUAZEIRODO0AC003;
SWAC-SE54-01;METRO;8;;SEARACAJU0AC008;
SWAC-SE55-01;METRO;8;;SEARACAJU0AC009;
SWAC-PB56-01;METRO;8;;PBJOAOPESSOA0AC002;
SWAC-PB57-01;METRO;8;;PBCAMPINAGRA0AC003;
SWAC-PI58-01;METRO;8;;PIPICOS0AC001;
SWAC-CE59-01;METRO;8;;CEJUAZEIRODO0AC004;
SWAC-AL60-01;METRO;8;;ALARAPIRACA0AC004;
SWAC-SE61-01;METRO;8;;SEARACAJU0AC010;
SWAC-BA62-01;METRO;8;;BAVITORIADAC0AC001;
SWAC-PB63-01;METRO;8;;PBSANTARITA0AC004;
SWAC-BA64-01;METRO;8;;BASALVADOR0AC004;
SWAC-PB65-01;METRO;8;;PBSANTARITA0AC005;
SWAC-RN66-01;METRO;8;;RNNATAL0AC007;
SWAC-AL67-01;METRO;8;;ALARAPIRACA0AC005;
SWAC-MT01-01;METRO;8;;MTCUIABA0AC001;
SWAC-MS02-01;METRO;8;;MSCAMPOGRAND0AC001;
SWAC-GO03-01;METRO;8;;GOGOIANIA0AC001;
SWAC-GO04-01;METRO;8;;GOAPARECIDAD0AC001;
SWAC-MT05-01;METRO;8;;MTVARZEAGRAN0AC001;
SWAC-GO06-01;METRO;8;;GOANAPOLIS0AC001;
SWAC-MS07-01;METRO;8;;MSDOURADOS0AC001;
SWAC-GO08-01;METRO;8;;GOGOIANIA0AC002;
SWAC-MT09-01;METRO;8;;MTCUIABA0AC002;
SWAC-DF10-01;METRO;8;;DFBRASILIA0AC001;
SWAC-DF11-01;METRO;8;;DFBRASILIA0AC002;
SWAC-MT12-01;METRO;8;;MTRONDONOPOL0AC001;
SWAC-MS13-01;METRO;8;;MSCAMPOGRAND0AC002;
SWAC-MT14-01;METRO;8;;MTRONDONOPOL0AC002;
SWAC-MS15-01;METRO;8;;MSTRESLAGOAS0AC001;
SWAC-MS16-01;METRO;8;;MSTRESLAGOAS0AC002;
SWAC-MS17-01;METRO;8;;MSCAMPOGRAND0AC003;
SWAC-MT18-01;METRO;8;;MTCUIABA0AC003;
SWAC-RJ01-01;METRO;8;;RJDUQUEDECAX0AC001;
SWAC-MG02-01;METRO;8;;MGBELOHORIZO0AC001;
SWAC-ES03-01;METRO;8;;ESCARIACICA0AC001;
SWAC-SP04-01;METRO;8;;SPGUARULHOS0AC001;
SWAC-SP05-01;METRO;8;;SPGUARULHOS0AC002;
SWAC-RJ06-01;METRO;8;;RJRIODEJANEI0AC001;
SWAC-MG07-01;METRO;8;;MGBELOHORIZO0AC002;
SWAC-RJ08-01;METRO;8;;RJDUQUEDECAX0AC002;
SWAC-RJ09-01;METRO;8;;RJRIODEJANEI0AC002;
SWAC-SP10-01;METRO;8;;SPSAOPAULO0AC001;
SWAC-ES11-01;METRO;8;;ESVITORIA0AC001;
SWAC-RJ12-01;METRO;8;;RJSAOGONCALO0AC001;
SWAC-ES13-01;METRO;8;;ESVITORIA0AC002;
SWAC-RJ14-01;METRO;8;;RJDUQUEDECAX0AC003;
SWAC-MG15-01;METRO;8;;MGCONTAGEM0AC001;
SWAC-RJ16-01;METRO;8;;RJDUQUEDECAX0AC004;
SWAC-MG17-01;METRO;8;;MGBELOHORIZO0AC003;
SWAC-RJ18-01;METRO;8;;RJRIODEJANEI0AC003;
SWAC-ES19-01;METRO;8;;ESVILAVELHA0AC001;
SWAC-MG20-01;METRO;8;;MGBELOHORIZO0AC004;
SWAC-SP21-01;METRO;8;;SPSAOPAULO0AC002;
SWAC-MG22-01;METRO;8;;MGBELOHORIZO0AC005;
SWAC-RJ23-01;METRO;8;;RJRIODEJANEI0AC004;
SWAC-MG24-01;METRO;8;;MGBELOHORIZO0AC006;
SWAC-RJ25-01;METRO;8;;RJRIODEJANEI0AC005;
SWAC-MG26-01;METRO;8;;MGBELOHORIZO0AC007;
SWAC-MG27-01;METRO;8;;MGCONTAGEM0AC002;
SWAC-MG28-01;METRO;8;;MGUBERLANDIA0AC001;
SWAC-MG29-01;METRO;8;;MGUBERLANDIA0AC002;
SWAC-RJ30-01;METRO;8;;RJDUQUEDECAX0AC005;
SWAC-SP31-01;METRO;8;;SPCAMPINAS0AC001;
SWAC-SP32-01;METRO;8;;SPSAOPAULO0AC003;
SWAC-SP33-01;METRO;8;;SPSAOPAULO0AC004;
SWAC-SP34-01;METRO;8;;SPSAOPAULO0AC005;
SWAC-RJ35-01;METRO;8;;RJRIODEJANEI0AC006;
SWAC-SP36-01;METRO;8;;SPCAMPINAS0AC002;
SWAC-MG37-01;METRO;8;;MGBELOHORIZO0AC008;
SWAC-SP38-01;METRO;8;;SPSAOPAULO0AC006;
SWAC-MG39-01;METRO;8;;MGUBERLANDIA0AC003;
SWAC-MG40-01;METRO;8;;MGBELOHORIZO0AC009;
SWAC-RJ41-01;METRO;8;;RJRIODEJANEI0AC007;
SWAC-RJ42-01;METRO;8;;RJSAOGONCALO0AC002;
SWAC-ES43-01;METRO;8;;ESCARIACICA0AC002;
SWAC-RJ44-01;METRO;8;;RJRIODEJANEI0AC008;
SWAC-MG45-01;METRO;8;;MGCONTAGEM0AC003;
SWAC-MG46-01;METRO;8;;MGBELOHORIZO0AC010;
SWAC-MG47-01;METRO;8;;MGCONTAGEM0AC004;
SWAC-MG48-01;METRO;8;;MGUBERLANDIA0AC004;
SWAC-SP49-01;METRO;8;;SPSAOPAULO0AC007;
SWAC-RJ50-01;METRO;8;;RJRIODEJANEI0AC009;
SWAC-ES51-01;METRO;8;;ESVILAVELHA0AC002;
SWAC-RJ52-01;METRO;8;;RJRIODEJANEI0AC010;
SWAC-SP53-01;METRO;8;;SPSAOPAULO0AC008;
SWAC-ES54-01;METRO;8;;ESCARIACICA0AC003;
SWAC-SP55-01;METRO;8;;SPCAMPINAS0AC003;
SWAC-RJ56-01;METRO;8;;RJRIODEJANEI0AC011;
SWAC-ES57-01;METRO;8;;ESVILAVELHA0AC003;
SWAC-RJ58-01;METRO;8;;RJSAOGONCALO0AC003;
SWAC-ES59-01;METRO;8;;ESVITORIA0AC003;
SWAC-RJ60-01;METRO;8;;RJRIODEJANEI0AC012;
SWAC-ES61-01;METRO;8;;ESVILAVELHA0AC004;
SWAC-ES62-01;METRO;8;;ESVITORIA0AC004;
SWAC-ES63-01;METRO;8;;ESVILAVELHA0AC005;
SWAC-ES64-01;METRO;8;;ESCARIACICA0AC004;
SWAC-RJ65-01;METRO;8;;RJRIODEJANEI0AC013;
SWAC-MG66-01;METRO;8;;MGUBERLANDIA0AC005;
SWAC-MG67-01;METRO;8;;MGUBERLANDIA0AC006;
SWAC-MG68-01;METRO;8;;MGCONTAGEM0AC005;
SWAC-MG69-01;METRO;8;;MGBELOHORIZO0AC011;
SWAC-RJ70-01;METRO;8;;RJRIODEJANEI0AC014;
SWAC-SP71-01;METRO;8;;SPSAOPAULO0AC009;
SWAC-SP72-01;METRO;8;;SPSAOPAULO0AC010;
SWAC-ES73-01;METRO;8;;ESCARIACICA0AC005;
SWAC-RJ74-01;METRO;8;;RJRIODEJANEI0AC015;
SWAC-SP75-01;METRO;8;;SPGUARULHOS0AC003;
SWAC-ES76-01;METRO;8;;ESVITORIA0AC005;
SWAC-SP77-01;METRO;8;;SPGUARULHOS0AC004;
SWAC-MG78-01;METRO;8;;MGBELOHORIZO0AC012;
SWAC-MG79-01;METRO;8;;MGBELOHORIZO0AC013;
SWAC-SP80-01;METRO;8;;SPSAOPAULO0AC011;
SWAC-ES81-01;METRO;8;;ESVILAVELHA0AC006;
SWAC-RJ82-01;METRO;8;;RJDUQUEDECAX0AC006;
SWAC-ES83-01;METRO;8;;ESVILAVELHA0AC007;
SWAC-SP84-01;METRO;8;;SPSAOPAULO0AC012;
SWAC-MG85-01;METRO;8;;MGBELOHORIZO0AC014;
SWAC-MG86-01;METRO;8;;MGUBERLANDIA0AC007;
SWAC-SP87-01;METRO;8;;SPGUARULHOS0AC005;
SWAC-MG88-01;METRO;8;;MGCONTAGEM0AC006;
SWAC-RJ89-01;METRO;8;;RJRIODEJANEI0AC016;
SWAC-ES90-01;METRO;8;;ESVITORIA0AC006;
SWAC-MG91-01;METRO;8;;MGUBERLANDIA0AC008;
SWAC-ES92-01;METRO;8;;ESVILAVELHA0AC008;
SWAC-SP93-01;METRO;8;;SPCAMPINAS0AC004;
SWAC-ES94-01;METRO;8;;ESVILAVELHA0AC009;
SWAC-SP95-01;METRO;8;;SPSAOPAULO0AC013;
SWAC-SP96-01;METRO;8;;SPSAOPAULO0AC014;
SWAC-RJ97-01;METRO;8;;RJSAOGONCALO0AC004;
SWAC-RJ98-01;METRO;8;;RJRIODEJANEI0AC017;
SWAC-RJ99-01;METRO;8;;RJRIODEJANEI0AC018;
SWAC-MG100-01;METRO;8;;MGBELOHORIZO0AC015;
SWAC-SC01-01;METRO;8;;SCFLORIANOPO0AC001;
SWAC-PR02-01;METRO;8;;PRMARINGA0AC001;
SWAC-SC03-01;METRO;8;;SCBLUMENAU0AC001;
SWAC-PR04-01;METRO;8;;PRMARINGA0AC002;
SWAC-SC05-01;METRO;8;;SCJOINVILLE0AC001;
SWAC-RS06-01;METRO;8;;RSCANOAS0AC001;
SWAC-SC07-01;METRO;8;;SCFLORIANOPO0AC002;
SWAC-RS08-01;METRO;8;;RSPORTOALEGR0AC001;
SWAC-SC09-01;METRO;8;;SCBLUMENAU0AC002;
SWAC-PR10-01;METRO;8;;PRCURITIBA0AC001;
SWAC-PR11-01;METRO;8;;PRLONDRINA0AC001;
SWAC-SC12-01;METRO;8;;SCFLORIANOPO0AC003;
SWAC-PR13-01;METRO;8;;PRCURITIBA0AC002;
SWAC-RS14-01;METRO;8;;RSCAXIASDOSU0AC001;
SWAC-RS15-01;METRO;8;;RSCAXIASDOSU0AC002;
SWAC-SC16-01;METRO;8;;SCFLORIANOPO0AC004;
SWAC-PR17-01;METRO;8;;PRLONDRINA0AC002;
SWAC-RS18-01;METRO;8;;RSCANOAS0AC002;
SWAC-RS19-01;METRO;8;;RSCANOAS0AC003;
SWAC-PR20-01;METRO;8;;PRCURITIBA0AC003;
SWAC-SC21-01;METRO;8;;SCBLUMENAU0AC003;
SWAC-PR22-01;METRO;8;;PRCURITIBA0AC004;
SWAC-SC23-01;METRO;8;;SCBLUMENAU0AC004;
SWAC-RS24-01;METRO;8;;RSPORTOALEGR0AC002;
SWAC-RS25-01;METRO;8;;RSCAXIASDOSU0AC003;
SWAC-RS26-01;METRO;8;;RSCAXIASDOSU0AC004;
SWAC-SC27-01;METRO;8;;SCFLORIANOPO0AC005;
SWAC-RS28-01;METRO;8;;RSCAXIASDOSU0AC005;
