endpoint-a;endpoint-b;connection_text;strokeWidth;strokeColor;dashed;fontStyle;fontSize
RTRR-Centr07-01;RTIC-BRA06-01;Reflector Link;;;;;
RTRR-Centr07-01;RTIC-CUI07-01;Reflector Link;;;;;
RTRR-Sudes08-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Sudes08-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Sudes09-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Sudes09-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Sudes10-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Sudes10-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Vitor11-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Vitor11-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Campi12-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Campi12-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Campi13-01;RTIC-SAO08-01;Reflector Link;;;;;
RTRR-Campi13-01;RTIC-RIO09-01;Reflector Link;;;;;
RTRR-Sul114-01;RTIC-CUR13-01;Reflector Link;;;;;
RTRR-Sul114-01;RTIC-POR14-01;Reflector Link;;;;;
RTRR-Sul215-01;RTIC-CUR13-01;Reflector Link;;;;;
RTRR-Sul215-01;RTIC-POR14-01;Reflector Link;;;;;
RTPR-AM01-01;RTIC-MAN01-01;Peering Link;;;;;
RTPR-AM01-01;RTIC-BEL02-01;Peering Link;;;;;
RTPR-CE01-01;RTIC-FOR03-01;Peering Link;;;;;
RTPR-CE01-01;RTIC-REC04-01;Peering Link;;;;;
RTPR-BA02-01;RTIC-SAL05-01;Peering Link;;;;;
RTPR-BA02-01;RTIC-REC04-01;Peering Link;;;;;
RTPR-PI03-01;RTIC-FOR03-01;Peering Link;;;;;
RTPR-PI03-01;RTIC-BEL02-01;Peering Link;;;;;
RTPR-GO01-01;RTIC-BRA06-01;Peering Link;;;;;
RTPR-GO01-01;RTIC-CAM11-01;Peering Link;;;;;
RTPR-ES01-01;RTIC-VIT12-01;Peering Link;;;;;
RTPR-ES01-01;RTIC-RIO09-01;Peering Link;;;;;
RTPR-ES02-01;RTIC-VIT12-01;Peering Link;;;;;
RTPR-ES02-01;RTIC-RIO09-01;Peering Link;;;;;
RTPR-RJ03-01;RTIC-RIO09-01;Peering Link;;;;;
RTPR-RJ03-01;RTIC-RIO10-01;Peering Link;;;;;
RTPR-SP04-01;RTIC-CAM11-01;Peering Link;;;;;
RTPR-SP04-01;RTIC-SAO08-01;Peering Link;;;;;
RTPR-RS01-01;RTIC-POR14-01;Peering Link;;;;;
RTPR-RS01-01;RTIC-CUR13-01;Peering Link;;;;;
RTED-AP01-01;RTED-AP01-02;Edge Pair;;;;;
RTED-AP01-01;RTIC-BEL02-01;Edge to Core;;;;;
RTED-AP01-02;RTIC-MAN01-01;Edge to Core;;;;;
RTED-AC02-01;RTED-AC02-02;Edge Pair;;;;;
RTED-AC02-01;RTIC-MAN01-01;Edge to Core;;;;;
RTED-AC02-02;RTIC-CUI07-01;Edge to Core;;;;;
RTED-SE01-01;RTED-SE01-02;Edge Pair;;;;;
RTED-SE01-01;RTIC-SAL05-01;Edge to Core;;;;;
RTED-SE01-02;RTIC-REC04-01;Edge to Core;;;;;
RTED-PE02-01;RTED-PE02-02;Edge Pair;;;;;
RTED-PE02-01;RTIC-REC04-01;Edge to Core;;;;;
RTED-PE02-02;RTIC-FOR03-01;Edge to Core;;;;;
RTED-AL03-01;RTED-AL03-02;Edge Pair;;;;;
RTED-AL03-01;RTIC-REC04-01;Edge to Core;;;;;
RTED-AL03-02;RTIC-SAL05-01;Edge to Core;;;;;
RTED-SE04-01;RTED-SE04-02;Edge Pair;;;;;
RTED-SE04-01;RTIC-SAL05-01;Edge to Core;;;;;
RTED-SE04-02;RTIC-REC04-01;Edge to Core;;;;;
RTED-PB05-01;RTED-PB05-02;Edge Pair;;;;;
RTED-PB05-01;RTIC-REC04-01;Edge to Core;;;;;
RTED-PB05-02;RTIC-FOR03-01;Edge to Core;;;;;
RTED-DF01-01;RTED-DF01-02;Edge Pair;;;;;
RTED-DF01-01;RTIC-BRA06-01;Edge to Core;;;;;
RTED-DF01-02;RTIC-CAM11-01;Edge to Core;;;;;
RTED-DF02-01;RTED-DF02-02;Edge Pair;;;;;
RTED-DF02-01;RTIC-BRA06-01;Edge to Core;;;;;
RTED-DF02-02;RTIC-CAM11-01;Edge to Core;;;;;
RTED-MG01-01;RTED-MG01-02;Edge Pair;;;;;
RTED-MG01-01;RTIC-RIO10-01;Edge to Core;;;;;
RTED-MG01-02;RTIC-RIO09-01;Edge to Core;;;;;
RTED-MG02-01;RTED-MG02-02;Edge Pair;;;;;
RTED-MG02-01;RTIC-RIO10-01;Edge to Core;;;;;
RTED-MG02-02;RTIC-RIO09-01;Edge to Core;;;;;
RTED-MG03-01;RTED-MG03-02;Edge Pair;;;;;
RTED-MG03-01;RTIC-RIO10-01;Edge to Core;;;;;
RTED-MG03-02;RTIC-RIO09-01;Edge to Core;;;;;
RTED-MG04-01;RTED-MG04-02;Edge Pair;;;;;
RTED-MG04-01;RTIC-RIO10-01;Edge to Core;;;;;
RTED-MG04-02;RTIC-RIO09-01;Edge to Core;;;;;
RTED-SP05-01;RTED-SP05-02;Edge Pair;;;;;
RTED-SP05-01;RTIC-CAM11-01;Edge to Core;;;;;
RTED-SP05-02;RTIC-SAO08-01;Edge to Core;;;;;
RTED-SP06-01;RTED-SP06-02;Edge Pair;;;;;
RTED-SP06-01;RTIC-CAM11-01;Edge to Core;;;;;
RTED-SP06-02;RTIC-SAO08-01;Edge to Core;;;;;
RTED-ES07-01;RTED-ES07-02;Edge Pair;;;;;
RTED-ES07-01;RTIC-VIT12-01;Edge to Core;;;;;
RTED-ES07-02;RTIC-RIO09-01;Edge to Core;;;;;
RTED-SP08-01;RTED-SP08-02;Edge Pair;;;;;
RTED-SP08-01;RTIC-SAO08-01;Edge to Core;;;;;
RTED-SP08-02;RTIC-CAM11-01;Edge to Core;;;;;
RTED-RS01-01;RTED-RS01-02;Edge Pair;;;;;
RTED-RS01-01;RTIC-POR14-01;Edge to Core;;;;;
RTED-RS01-02;RTIC-CUR13-01;Edge to Core;;;;;
RTED-SC02-01;RTED-SC02-02;Edge Pair;;;;;
RTED-SC02-01;RTIC-CUR13-01;Edge to Core;;;;;
RTED-SC02-02;RTIC-SAO08-01;Edge to Core;;;;;
SWAC-RO01-01;RTED-AC02-01;Metro to Edge;;;;;
SWAC-RO01-01;RTED-AC02-02;Metro to Edge;;;;;
SWAC-AP02-01;SWAC-AP10-01;Metro Ring;;;;;
SWAC-AP10-01;SWAC-AP02-01;Metro Ring;;;;;
SWAC-AP02-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-AP10-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-RR03-01;SWAC-RR11-01;Metro Ring;;;;;
SWAC-RR11-01;SWAC-RR03-01;Metro Ring;;;;;
SWAC-RR03-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-RR11-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-TO04-01;SWAC-TO09-01;Metro Ring;;;;;
SWAC-TO09-01;SWAC-TO04-01;Metro Ring;;;;;
SWAC-TO04-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-TO09-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-AC05-01;RTED-AC02-01;Metro to Edge;;;;;
SWAC-AC05-01;RTED-AC02-02;Metro to Edge;;;;;
SWAC-AC06-01;RTED-AC02-01;Metro to Edge;;;;;
SWAC-AC06-01;RTED-AC02-02;Metro to Edge;;;;;
SWAC-AP07-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-AP07-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-PA19-01;SWAC-PA08-01;Metro Ring;;;;;
SWAC-PA08-01;SWAC-PA19-01;Metro Ring;;;;;
SWAC-PA19-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-PA08-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-RO12-01;RTED-AC02-01;Metro to Edge;;;;;
SWAC-RO12-01;RTED-AC02-02;Metro to Edge;;;;;
SWAC-PA13-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-PA13-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-AM16-01;SWAC-AM14-01;Metro Ring;;;;;
SWAC-AM14-01;SWAC-AM16-01;Metro Ring;;;;;
SWAC-AM16-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-AM14-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-RR15-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-RR15-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-RO18-01;SWAC-RO17-01;Metro Ring;;;;;
SWAC-RO17-01;SWAC-RO18-01;Metro Ring;;;;;
SWAC-RO18-01;RTED-AC02-01;Metro to Edge;;;;;
SWAC-RO17-01;RTED-AC02-02;Metro to Edge;;;;;
SWAC-PI01-01;SWAC-PI14-01;Metro Ring;;;;;
SWAC-PI14-01;SWAC-PI45-01;Metro Ring;;;;;
SWAC-PI45-01;SWAC-PI01-01;Metro Ring;;;;;
SWAC-PI01-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-PI45-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-BA06-01;SWAC-BA02-01;Metro Ring;;;;;
SWAC-BA02-01;SWAC-BA21-01;Metro Ring;;;;;
SWAC-BA21-01;SWAC-BA64-01;Metro Ring;;;;;
SWAC-BA64-01;SWAC-BA06-01;Metro Ring;;;;;
SWAC-BA06-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-BA64-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-SE54-01;SWAC-SE55-01;Metro Ring;;;;;
SWAC-SE55-01;SWAC-SE03-01;Metro Ring;;;;;
SWAC-SE03-01;SWAC-SE61-01;Metro Ring;;;;;
SWAC-SE61-01;SWAC-SE23-01;Metro Ring;;;;;
SWAC-SE23-01;SWAC-SE05-01;Metro Ring;;;;;
SWAC-SE05-01;SWAC-SE25-01;Metro Ring;;;;;
SWAC-SE25-01;SWAC-SE31-01;Metro Ring;;;;;
SWAC-SE31-01;SWAC-SE50-01;Metro Ring;;;;;
SWAC-SE50-01;SWAC-SE40-01;Metro Ring;;;;;
SWAC-SE40-01;SWAC-SE54-01;Metro Ring;;;;;
SWAC-SE54-01;RTED-SE04-01;Metro to Edge;;;;;
SWAC-SE40-01;RTED-SE04-02;Metro to Edge;;;;;
SWAC-RN42-01;SWAC-RN30-01;Metro Ring;;;;;
SWAC-RN30-01;SWAC-RN04-01;Metro Ring;;;;;
SWAC-RN04-01;SWAC-RN10-01;Metro Ring;;;;;
SWAC-RN10-01;SWAC-RN66-01;Metro Ring;;;;;
SWAC-RN66-01;SWAC-RN28-01;Metro Ring;;;;;
SWAC-RN28-01;SWAC-RN37-01;Metro Ring;;;;;
SWAC-RN37-01;SWAC-RN42-01;Metro Ring;;;;;
SWAC-RN42-01;RTED-PB05-01;Metro to Edge;;;;;
SWAC-RN37-01;RTED-PB05-02;Metro to Edge;;;;;
SWAC-BA07-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-BA07-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-PB16-01;SWAC-PB57-01;Metro Ring;;;;;
SWAC-PB57-01;SWAC-PB08-01;Metro Ring;;;;;
SWAC-PB08-01;SWAC-PB16-01;Metro Ring;;;;;
SWAC-PB16-01;RTED-PB05-01;Metro to Edge;;;;;
SWAC-PB08-01;RTED-PB05-02;Metro to Edge;;;;;
SWAC-PB56-01;SWAC-PB09-01;Metro Ring;;;;;
SWAC-PB09-01;SWAC-PB56-01;Metro Ring;;;;;
SWAC-PB56-01;RTED-PB05-01;Metro to Edge;;;;;
SWAC-PB09-01;RTED-PB05-02;Metro to Edge;;;;;
SWAC-AL17-01;SWAC-AL11-01;Metro Ring;;;;;
SWAC-AL11-01;SWAC-AL60-01;Metro Ring;;;;;
SWAC-AL60-01;SWAC-AL67-01;Metro Ring;;;;;
SWAC-AL67-01;SWAC-AL47-01;Metro Ring;;;;;
SWAC-AL47-01;SWAC-AL17-01;Metro Ring;;;;;
SWAC-AL17-01;RTED-AL03-01;Metro to Edge;;;;;
SWAC-AL47-01;RTED-AL03-02;Metro to Edge;;;;;
SWAC-SE12-01;SWAC-SE48-01;Metro Ring;;;;;
SWAC-SE48-01;SWAC-SE44-01;Metro Ring;;;;;
SWAC-SE44-01;SWAC-SE12-01;Metro Ring;;;;;
SWAC-SE12-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-SE44-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-AL32-01;SWAC-AL13-01;Metro Ring;;;;;
SWAC-AL13-01;SWAC-AL33-01;Metro Ring;;;;;
SWAC-AL33-01;SWAC-AL32-01;Metro Ring;;;;;
SWAC-AL32-01;RTED-AL03-01;Metro to Edge;;;;;
SWAC-AL33-01;RTED-AL03-02;Metro to Edge;;;;;
SWAC-PE18-01;SWAC-PE15-01;Metro Ring;;;;;
SWAC-PE15-01;SWAC-PE24-01;Metro Ring;;;;;
SWAC-PE24-01;SWAC-PE35-01;Metro Ring;;;;;
SWAC-PE35-01;SWAC-PE20-01;Metro Ring;;;;;
SWAC-PE20-01;SWAC-PE18-01;Metro Ring;;;;;
SWAC-PE18-01;RTED-PE02-01;Metro to Edge;;;;;
SWAC-PE20-01;RTED-PE02-02;Metro to Edge;;;;;
SWAC-PB65-01;SWAC-PB63-01;Metro Ring;;;;;
SWAC-PB63-01;SWAC-PB19-01;Metro Ring;;;;;
SWAC-PB19-01;SWAC-PB36-01;Metro Ring;;;;;
SWAC-PB36-01;SWAC-PB27-01;Metro Ring;;;;;
SWAC-PB27-01;SWAC-PB65-01;Metro Ring;;;;;
SWAC-PB65-01;RTED-PB05-01;Metro to Edge;;;;;
SWAC-PB27-01;RTED-PB05-02;Metro to Edge;;;;;
SWAC-MA22-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-MA22-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-CE59-01;SWAC-CE26-01;Metro Ring;;;;;
SWAC-CE26-01;SWAC-CE53-01;Metro Ring;;;;;
SWAC-CE53-01;SWAC-CE34-01;Metro Ring;;;;;
SWAC-CE34-01;SWAC-CE59-01;Metro Ring;;;;;
SWAC-CE59-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-CE34-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-CE29-01;RTED-PB05-01;Metro to Edge;;;;;
SWAC-CE29-01;RTED-PB05-02;Metro to Edge;;;;;
SWAC-PE38-01;RTED-PE02-01;Metro to Edge;;;;;
SWAC-PE38-01;RTED-PE02-02;Metro to Edge;;;;;
SWAC-SE39-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-SE39-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-PI49-01;SWAC-PI41-01;Metro Ring;;;;;
SWAC-PI41-01;SWAC-PI49-01;Metro Ring;;;;;
SWAC-PI49-01;RTED-PB05-01;Metro to Edge;;;;;
SWAC-PI41-01;RTED-PB05-02;Metro to Edge;;;;;
SWAC-CE43-01;RTED-PB05-01;Metro to Edge;;;;;
SWAC-CE43-01;RTED-PB05-02;Metro to Edge;;;;;
SWAC-MA46-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-MA46-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-PE51-01;RTED-PE02-01;Metro to Edge;;;;;
SWAC-PE51-01;RTED-PE02-02;Metro to Edge;;;;;
SWAC-MA52-01;RTED-AP01-01;Metro to Edge;;;;;
SWAC-MA52-01;RTED-AP01-02;Metro to Edge;;;;;
SWAC-PI58-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-PI58-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-BA62-01;RTED-SE01-01;Metro to Edge;;;;;
SWAC-BA62-01;RTED-SE01-02;Metro to Edge;;;;;
SWAC-MT09-01;SWAC-MT18-01;Metro Ring;;;;;
SWAC-MT18-01;SWAC-MT01-01;Metro Ring;;;;;
SWAC-MT01-01;SWAC-MT09-01;Metro Ring;;;;;
SWAC-MT09-01;RTED-DF01-01;Metro to Edge;;;;;
SWAC-MT01-01;RTED-DF01-02;Metro to Edge;;;;;
SWAC-MS02-01;SWAC-MS17-01;Metro Ring;;;;;
SWAC-MS17-01;SWAC-MS13-01;Metro Ring;;;;;
SWAC-MS13-01;SWAC-MS02-01;Metro Ring;;;;;
SWAC-MS02-01;RTED-SP06-01;Metro to Edge;;;;;
SWAC-MS13-01;RTED-SP06-02;Metro to Edge;;;;;
SWAC-GO08-01;SWAC-GO03-01;Metro Ring;;;;;
SWAC-GO03-01;SWAC-GO08-01;Metro Ring;;;;;
SWAC-GO08-01;RTED-DF01-01;Metro to Edge;;;;;
SWAC-GO03-01;RTED-DF01-02;Metro to Edge;;;;;
SWAC-GO04-01;RTED-DF01-01;Metro to Edge;;;;;
SWAC-GO04-01;RTED-DF01-02;Metro to Edge;;;;;
SWAC-MT05-01;RTED-DF01-01;Metro to Edge;;;;;
SWAC-MT05-01;RTED-DF01-02;Metro to Edge;;;;;
SWAC-GO06-01;RTED-DF01-01;Metro to Edge;;;;;
SWAC-GO06-01;RTED-DF01-02;Metro to Edge;;;;;
SWAC-MS07-01;RTED-SC02-01;Metro to Edge;;;;;
SWAC-MS07-01;RTED-SC02-02;Metro to Edge;;;;;
SWAC-DF11-01;SWAC-DF10-01;Metro Ring;;;;;
SWAC-DF10-01;SWAC-DF11-01;Metro Ring;;;;;
SWAC-DF11-01;RTED-DF01-01;Metro to Edge;;;;;
SWAC-DF10-01;RTED-DF01-02;Metro to Edge;;;;;
SWAC-MT14-01;SWAC-MT12-01;Metro Ring;;;;;
SWAC-MT12-01;SWAC-MT14-01;Metro Ring;;;;;
SWAC-MT14-01;RTED-DF01-01;Metro to Edge;;;;;
SWAC-MT12-01;RTED-DF01-02;Metro to Edge;;;;;
SWAC-MS15-01;SWAC-MS16-01;Metro Ring;;;;;
SWAC-MS16-01;SWAC-MS15-01;Metro Ring;;;;;
SWAC-MS15-01;RTED-SP06-01;Metro to Edge;;;;;
SWAC-MS16-01;RTED-SP06-02;Metro to Edge;;;;;
SWAC-RJ30-01;SWAC-RJ08-01;Metro Ring;;;;;
SWAC-RJ08-01;SWAC-RJ01-01;Metro Ring;;;;;
SWAC-RJ01-01;SWAC-RJ14-01;Metro Ring;;;;;
SWAC-RJ14-01;SWAC-RJ16-01;Metro Ring;;;;;
SWAC-RJ16-01;SWAC-RJ82-01;Metro Ring;;;;;
SWAC-RJ82-01;SWAC-RJ30-01;Metro Ring;;;;;
SWAC-RJ30-01;RTED-MG01-01;Metro to Edge;;;;;
SWAC-RJ82-01;RTED-MG01-02;Metro to Edge;;;;;
SWAC-MG40-01;SWAC-MG20-01;Metro Ring;;;;;
SWAC-MG20-01;SWAC-MG46-01;Metro Ring;;;;;
SWAC-MG46-01;SWAC-MG07-01;Metro Ring;;;;;
SWAC-MG07-01;SWAC-MG37-01;Metro Ring;;;;;
SWAC-MG37-01;SWAC-MG79-01;Metro Ring;;;;;
SWAC-MG79-01;SWAC-MG85-01;Metro Ring;;;;;
SWAC-MG85-01;SWAC-MG17-01;Metro Ring;;;;;
SWAC-MG17-01;SWAC-MG78-01;Metro Ring;;;;;
SWAC-MG78-01;SWAC-MG24-01;Metro Ring;;;;;
SWAC-MG24-01;SWAC-MG26-01;Metro Ring;;;;;
SWAC-MG26-01;SWAC-MG02-01;Metro Ring;;;;;
SWAC-MG02-01;SWAC-MG100-01;Metro Ring;;;;;
SWAC-MG100-01;SWAC-MG69-01;Metro Ring;;;;;
SWAC-MG69-01;SWAC-MG22-01;Metro Ring;;;;;
SWAC-MG22-01;SWAC-MG40-01;Metro Ring;;;;;
SWAC-MG40-01;RTED-MG01-01;Metro to Edge;;;;;
SWAC-MG22-01;RTED-MG01-02;Metro to Edge;;;;;
SWAC-ES03-01;SWAC-ES64-01;Metro Ring;;;;;
SWAC-ES64-01;SWAC-ES54-01;Metro Ring;;;;;
SWAC-ES54-01;SWAC-ES43-01;Metro Ring;;;;;
SWAC-ES43-01;SWAC-ES73-01;Metro Ring;;;;;
SWAC-ES73-01;SWAC-ES03-01;Metro Ring;;;;;
SWAC-ES03-01;RTED-ES07-01;Metro to Edge;;;;;
SWAC-ES73-01;RTED-ES07-02;Metro to Edge;;;;;
SWAC-SP04-01;SWAC-SP75-01;Metro Ring;;;;;
SWAC-SP75-01;SWAC-SP87-01;Metro Ring;;;;;
SWAC-SP87-01;SWAC-SP77-01;Metro Ring;;;;;
SWAC-SP77-01;SWAC-SP05-01;Metro Ring;;;;;
SWAC-SP05-01;SWAC-SP04-01;Metro Ring;;;;;
SWAC-SP04-01;RTED-SP08-01;Metro to Edge;;;;;
SWAC-SP05-01;RTED-SP08-02;Metro to Edge;;;;;
SWAC-RJ44-01;SWAC-RJ56-01;Metro Ring;;;;;
SWAC-RJ56-01;SWAC-RJ99-01;Metro Ring;;;;;
SWAC-RJ99-01;SWAC-RJ25-01;Metro Ring;;;;;
SWAC-RJ25-01;SWAC-RJ35-01;Metro Ring;;;;;
SWAC-RJ35-01;SWAC-RJ74-01;Metro Ring;;;;;
SWAC-RJ74-01;SWAC-RJ50-01;Metro Ring;;;;;
SWAC-RJ50-01;SWAC-RJ60-01;Metro Ring;;;;;
SWAC-RJ60-01;SWAC-RJ89-01;Metro Ring;;;;;
SWAC-RJ89-01;SWAC-RJ18-01;Metro Ring;;;;;
SWAC-RJ18-01;SWAC-RJ70-01;Metro Ring;;;;;
SWAC-RJ70-01;SWAC-RJ09-01;Metro Ring;;;;;
SWAC-RJ09-01;SWAC-RJ52-01;Metro Ring;;;;;
SWAC-RJ52-01;SWAC-RJ98-01;Metro Ring;;;;;
SWAC-RJ98-01;SWAC-RJ65-01;Metro Ring;;;;;
SWAC-RJ65-01;SWAC-RJ06-01;Metro Ring;;;;;
SWAC-RJ06-01;SWAC-RJ41-01;Metro Ring;;;;;
SWAC-RJ41-01;SWAC-RJ23-01;Metro Ring;;;;;
SWAC-RJ23-01;SWAC-RJ44-01;Metro Ring;;;;;
SWAC-RJ44-01;RTED-MG01-01;Metro to Edge;;;;;
SWAC-RJ23-01;RTED-MG01-02;Metro to Edge;;;;;
SWAC-SP10-01;SWAC-SP84-01;Metro Ring;;;;;
SWAC-SP84-01;SWAC-SP53-01;Metro Ring;;;;;
SWAC-SP53-01;SWAC-SP80-01;Metro Ring;;;;;
SWAC-SP80-01;SWAC-SP21-01;Metro Ring;;;;;
SWAC-SP21-01;SWAC-SP38-01;Metro Ring;;;;;
SWAC-SP38-01;SWAC-SP49-01;Metro Ring;;;;;
SWAC-SP49-01;SWAC-SP96-01;Metro Ring;;;;;
SWAC-SP96-01;SWAC-SP71-01;Metro Ring;;;;;
SWAC-SP71-01;SWAC-SP34-01;Metro Ring;;;;;
SWAC-SP34-01;SWAC-SP72-01;Metro Ring;;;;;
SWAC-SP72-01;SWAC-SP32-01;Metro Ring;;;;;
SWAC-SP32-01;SWAC-SP33-01;Metro Ring;;;;;
SWAC-SP33-01;SWAC-SP95-01;Metro Ring;;;;;
SWAC-SP95-01;SWAC-SP10-01;Metro Ring;;;;;
SWAC-SP10-01;RTED-SP08-01;Metro to Edge;;;;;
SWAC-SP95-01;RTED-SP08-02;Metro to Edge;;;;;
SWAC-ES76-01;SWAC-ES13-01;Metro Ring;;;;;
SWAC-ES13-01;SWAC-ES62-01;Metro Ring;;;;;
SWAC-ES62-01;SWAC-ES90-01;Metro Ring;;;;;
SWAC-ES90-01;SWAC-ES11-01;Metro Ring;;;;;
SWAC-ES11-01;SWAC-ES59-01;Metro Ring;;;;;
SWAC-ES59-01;SWAC-ES76-01;Metro Ring;;;;;
SWAC-ES76-01;RTED-ES07-01;Metro to Edge;;;;;
SWAC-ES59-01;RTED-ES07-02;Metro to Edge;;;;;
SWAC-RJ42-01;SWAC-RJ12-01;Metro Ring;;;;;
SWAC-RJ12-01;SWAC-RJ97-01;Metro Ring;;;;;
SWAC-RJ97-01;SWAC-RJ58-01;Metro Ring;;;;;
SWAC-RJ58-01;SWAC-RJ42-01;Metro Ring;;;;;
SWAC-RJ42-01;RTED-MG01-01;Metro to Edge;;;;;
SWAC-RJ58-01;RTED-MG01-02;Metro to Edge;;;;;
SWAC-MG27-01;SWAC-MG47-01;Metro Ring;;;;;
SWAC-MG47-01;SWAC-MG45-01;Metro Ring;;;;;
SWAC-MG45-01;SWAC-MG68-01;Metro Ring;;;;;
SWAC-MG68-01;SWAC-MG88-01;Metro Ring;;;;;
SWAC-MG88-01;SWAC-MG15-01;Metro Ring;;;;;
SWAC-MG15-01;SWAC-MG27-01;Metro Ring;;;;;
SWAC-MG27-01;RTED-MG01-01;Metro to Edge;;;;;
